,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12,margin
523,Andhra Pradesh,Nandyal,N.MD.FAROOK,M,62.0,GEN,TDP,514780,1865,516645,1576945, ,-105766
527,Andhra Pradesh,Nandyal,S.P.Y REDDY,M,64.0,GEN,YSRCP,620061,2350,622411,1576945, ,0
538,Andhra Pradesh,Kurnool,B.T. NAIDU,M,42.0,GEN,TDP,427292,1359,428651,1481791, ,-44131
544,Andhra Pradesh,Kurnool,BUTTA RENUKA,F,42.0,GEN,YSRCP,471525,1257,472782,1481791, ,0
552,Andhra Pradesh,Anantapur,J.C. DIVAKAR REDDI,M,70.0,GEN,TDP,606849,3439,610288,1536894, ,0
553,Andhra Pradesh,Anantapur,ANANTHA VENKATARAMIREDDY,M,57.0,GEN,YSRCP,545612,2685,548297,1536894, ,-61991
564,Andhra Pradesh,Hindupur,KRISTAPPA NIMMALA,M,57.0,GEN,TDP,600507,3784,604291,1446496, ,0
568,Andhra Pradesh,Hindupur,DUDDUKUNTA SREEDHAR REDDY,M,43.0,GEN,YSRCP,504636,2330,506966,1446496, ,-97325
579,Andhra Pradesh,Kadapa,SRINIVASA REDDY REDDEPPAGARI,M,46.0,GEN,TDP,477505,4155,481660,1550440, ,-190323
580,Andhra Pradesh,Kadapa,Y.S. AVINASH REDDY,M,29.0,GEN,YSRCP,665491,6492,671983,1550440, ,0
592,Andhra Pradesh,Nellore,ADALA PRABHAKARA REDDY,M,64.0,GEN,TDP,558730,4188,562918,1606127, ,-13478
598,Andhra Pradesh,Nellore,MEKAPATI RAJAMOHAN REDDY,M,69.0,GEN,YSRCP,573203,3193,576396,1606127, ,0
607,Andhra Pradesh,Tirupati ,KARUMANCHI JAYARAM,M,54.0,SC,BJP,539887,3064,542951,1574161, ,-37425
613,Andhra Pradesh,Tirupati ,VARAPRASAD RAO VELAGAPALLI,M,61.0,SC,YSRCP,578289,2087,580376,1574161, ,0
623,Andhra Pradesh,Rajampet,D.  PURANDESWARI,F,53.0,GEN,BJP,424885,2105,426990,1487791, ,-174762
627,Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,M,36.0,GEN,YSRCP,599650,2102,601752,1487791, ,0
633,Andhra Pradesh,Chittoor ,NARAMALLI SIVAPRASAD,M,62.0,SC,TDP,590938,3924,594862,1451851, ,0
637,Andhra Pradesh,Chittoor ,G.SAMANYAKIRAN,F,35.0,SC,YSRCP,548184,2540,550724,1451851, ,-44138
643,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,M,42.0,ST,BJP,162575,6792,169367,446640, ,0
644,Arunachal Pradesh,ARUNACHAL WEST,TAKAM SANJOY,M,47.0,ST,INC,125908,1721,127629,446640, ,-41738
649,Arunachal Pradesh,ARUNACHAL EAST,NINONG ERING,M,55.0,ST,INC,116347,2108,118455,312704, ,0
650,Arunachal Pradesh,ARUNACHAL EAST,TAPIR GAO,M,49.0,ST,BJP,102463,3514,105977,312704, ,-12478
653,Assam,Karimganj ,KRISHNA DAS,M,45.0,SC,BJP,260347,425,260772,1165997, ,-102094
655,Assam,Karimganj ,RADHESHYAM BISWAS,M,59.0,SC,AIUDF,362605,261,362866,1165997, ,0
669,Assam,Silchar,KABINDRA PURKAYASTHA,M,82.0,GEN,BJP,301159,51,301210,1060175, ,-35241
673,Assam,Silchar,SUSHMITA DEV  ,F,41.0,GEN,INC,336426,25,336451,1060175, ,0
687,Assam,Autonomous District,JOY RAM ENGLENG,M,54.0,ST,BJP,188917,140,189057,702230, ,-24095
688,Assam,Autonomous District,BIREN SINGH ENGTI,M,74.0,ST,INC,213038,114,213152,702230, ,0
