pc_name,total_votes,postal_votes,total_electors,vtr
Murshidabad,1453755,1772,1725187,84.26651719
Muzaffarnagar,1160071,5879,1698003,68.31972617
Muzaffarpur,1058086,4122,1730553,61.14149639
Mysore,1318041,5563,1896333,69.50472306
NEW DELHI                     ,920541,1485,1617470,56.91240023
NORTH EAST DELHI              ,1461475,3429,2290492,63.80616042
NORTH WEST DELHI              ,1402962,1120,2378995,58.97288561
Nabarangpur ,1159700,2503,1461004,79.37692162
Nagaland,1006357,4215,1213777,82.91119374
Nagapattinam ,1002208,4365,1303649,76.87713487
Nagarkurnool,989847,799,1588111,62.32857779
Nagaur,1203124,7088,1933169,62.23584177
Nagina,1009456,3501,1586117,63.6432243
Nagpur ,1186051,4336,2161096,54.88192103
Nainital-udhamsingh Nagar,1258570,9314,1828433,68.83325777
Nalanda,1031286,2265,2114809,48.76497121
Nalgonda,1175703,953,1585980,74.13101048
Namakkal,1133774,3884,1413599,80.20478226
Nanded,1129350,10095,1719322,65.68577614
Nandurbar ,1281738,3747,1871099,68.50188045
Nandyal,1299093,10617,1603220,81.03023914
Narasapuram,1177738,8950,1439691,81.80491508
Narasaraopet,1437420,7895,1670391,86.05290618
Nashik,1121232,2679,1885064,59.47978424
Navsari,1308018,4937,1971658,66.34101857
Nawada,942462,7107,1899747,49.6098691
Nellore,1287036,13102,1672845,76.93695471
Nilgiris ,1010719,2945,1366060,73.98789219
Nizamabad,1062768,1146,1553385,68.41626512
North Goa,428628,1034,556761,76.98599579
Nowgong,1493475,3146,1794648,83.21826899
Ongole ,1342368,19072,1556469,86.24444175
Osmanabad,1204730,9962,1889740,63.75109803
Outer manipur,858029,6194,1022099,83.94773892
Palakkad,1028249,2266,1323010,77.72042539
Palamau,1209747,3778,1881441,64.29896021
Palghar ,1201941,755,1885600,63.74315868
Pali,1359799,14574,2161663,62.90522621
Panchmahal,1083676,7539,1744762,62.1102477
Parbhani,1252782,1271,1985228,63.10519497
Paschim Champaran,1012936,5053,1633824,61.99786513
Pataliputra,1077749,4574,1925479,55.9730332
Patan,1126256,5883,1807043,62.32591034
Pathanamthitta,1026553,3860,1382741,74.24043982
Patiala,1177903,2375,1739600,67.71114049
Patna Sahib,982285,3683,2146008,45.77266254
Peddapalle ,970051,853,1479091,65.58426763
Perambalur,1102767,8013,1391853,79.23013422
Phulpur,978236,3910,2010477,48.65691077
Pilibhit,1186589,3699,1761207,67.37362502
Pollachi,1081875,4455,1520504,71.15239421
Ponnani,1017265,924,1356803,74.97514378
Porbandar,949947,6606,1662368,57.14420634
Pratapgarh,914665,4650,1708759,53.52802824
Puducherry,790760,508,973410,81.23606702
Pune,1035236,1412,2075824,49.87108734
Puri,1135620,2817,1562331,72.68754188
Purnia,1153940,789,1765312,65.36748178
Purulia,1355236,2994,1645884,82.34091832
Purvi Champaran,999400,6590,1658672,60.25302169
RAIGARH,1350124,3261,1733805,77.87057945
RAIPUR,1396250,2959,2111738,66.11852417
RAJGARH,1260329,2269,1694329,74.38514008
RAJNANDGAON,1307033,2537,1716459,76.14705624
RATLAM,1400509,3054,1851112,75.65771277
REWA,1013251,3644,1679534,60.32929372
Rae Bareli,958556,3235,1702248,56.3111838
Raichur,1124385,2233,1928204,58.31255407
Raigad,1025467,5298,1652965,62.03803468
Raiganj,1277109,4552,1601220,79.75849665
Rajahmundry,1250427,5739,1534256,81.50054489
Rajampet,1224354,11580,1546938,79.14693414
Rajkot,1195271,5559,1884339,63.43184533
Rajmahal,1047657,2345,1454436,72.03183915
Rajsamand,1239845,5828,1912911,64.81456795
Ramanathapuram,1066146,5022,1559740,68.35408466
Rampur,1060921,760,1679506,63.16863411
Ramtek ,1196744,4315,1922764,62.24081583
Ranaghat,1484035,5080,1762252,84.21241684
Ranchi,1234926,3994,1915959,64.45471954
Ratnagiri - sindhudurg,901102,3747,1455577,61.90685893
Raver,1092971,4278,1775051,61.57406182
Robertsganj,988287,698,1723538,57.34059823
Rohtak,1220571,10897,1737133,70.26353192
SAGAR,1037175,1301,1583129,65.51424426
SARGUJA,1280689,2297,1655239,77.37184781
SATNA,1113656,1740,1575064,70.70544435
SHAHDOL,1237858,3085,1656474,74.72848955
SIDHI,1282705,1759,1845547,69.50270028
SOUTH DELHI                   ,1214222,1711,2067463,58.73004741
Sabarkantha,1218353,10185,1801717,67.62177412
Saharanpur,1231746,2831,1739082,70.82736754
Salem,1255459,5704,1612512,77.85734308
Salempur,922518,6707,1667282,55.33065192
Samastipur (SC),1019025,1892,1679030,60.691292
Sambalpur,1124455,3291,1468530,76.57010752
Sambhal,1183469,1260,1828764,64.71414573
Sangli,1189958,11135,1809109,65.77591511
Sangrur,1105888,3535,1529431,72.30715214
Sant Kabir Nagar,1063390,2584,1962903,54.17435299
Saran,943020,4312,1667253,56.56130173
Sasaram (SC),974749,5505,1787878,54.51988335
Satara,1115434,6174,1848489,60.3430153
Secundrabad,915106,952,1968276,46.49276829
Shahjahanpur,1186157,6183,2114201,56.10426823
Sheohar,1004559,3718,1686215,59.57478732
Shillong,784190,1617,1197806,65.46886558
Shimla,913607,6039,1259085,72.56118531
Shimoga,1283577,1298,1676668,76.55522739
Shirdi,1029362,6923,1587079,64.85890116
Shirur,1293117,2722,2175529,59.43919847
Shrawasti,997007,521,1914739,52.07012548
Sikar,1326969,15620,2041612,64.9961403
Sikkim,351746,11866,434128,81.02356909
Silchar,949696,4894,1195720,79.42461446
Singhbhum,879329,849,1269917,69.24302927
Sirsa,1369486,2116,1803349,75.94126262
Sitamarhi,1038849,4482,1752454,59.27967296
Sitapur,1064521,1143,1666126,63.89198656
Sivaganga,1084468,3301,1552019,69.87466004
Siwan,984810,2659,1799551,54.72531759
Solapur ,1084514,3260,1851654,58.57001362
Sonipat,1129532,5756,1592611,70.92328258
South Goa,424575,918,579352,73.28446264
Srerampur,1401705,1663,1785472,78.50613171
Srikakulam,1157329,14318,1553860,74.48090562
Srinagar,186832,466,1294671,14.43084768
Sriperumbudur,1406782,3604,2253448,62.42797704
Sultanpur,1000316,1275,1775196,56.34960872
Sundargarh ,1100129,2457,1531525,71.8322587
Supaul,1110805,965,1690620,65.70400208
Surat,1068412,2053,1655704,64.52916705
Surendranagar,1077726,8475,1849429,58.27344548
TIKAMGARH,1096712,1777,1647399,66.57233615
TONK-SAWAI MADHOPUR,1233458,4903,1945992,63.38453601
Tamluk,1446499,2583,1694646,85.35700081
Tehri Garhwal,876069,12263,1493543,58.65709926
Tenkasi ,1065088,9493,1492317,71.37143114
Tezpur,1190196,3861,1499639,79.36550063
Thane,1170518,3380,2370903,49.3701345
Thanjavur,1059223,6653,1461052,72.49728278
Theni ,1173489,5570,1561040,75.17353815
Thiruvallur ,1408189,4840,1946870,72.33092091
Thiruvananthapuram,1010180,6445,1371427,73.65904273
Thoothukkudi,991263,5454,1427783,69.42672661
Thrissur,1041869,1551,1337110,77.91946811
Tiruchirappalli,1048062,7351,1508963,69.45577857
Tirunelveli,1040350,7820,1547800,67.21475643
Tirupati ,1313515,9253,1650453,79.58511996
Tiruppur,1119584,3891,1530014,73.17475526
Tiruvannamalai,1151729,7180,1473862,78.14361182
Tripura East,1045417,4504,1261861,82.84723912
Tripura West,1107755,6393,1352857,81.882638
Tumkur,1244858,3330,1608545,77.39031236
Tura ,583041,771,716990,81.31787054
UJJAIN,1252511,2046,1661229,75.39664911
UP_Maharajganj,1226916,1230,1915408,64.05507338
Udaipur,1454518,6315,2069559,70.28154307
Udhampur,1180123,11028,1685816,70.0030727
Udupi Chikmagalur,1151012,1881,1513806,76.03431351
Ujiarpur,969284,2505,1612300,60.11809217
Uluberia,1311099,1082,1614988,81.18320384
Unnao,1237076,1530,2191465,56.44972655
Uttara Kannada,1153480,3219,1556599,74.10257876
VIDISHA,1250244,3835,1741604,71.78692745
Vadakara,1065619,4781,1288926,82.67495574
Vadodara,1222348,4442,1794896,68.10132732
Vaishali,1074730,2629,1735983,61.90901639
Valmiki Nagar,1032090,2402,1665502,61.96870373
Valsad,1260377,3539,1671030,75.42515694
Varanasi,1060476,1732,1856791,57.11337463
Vellore,1026055,1013,1438643,71.32102961
Vijayawada,1277711,4579,1652994,77.2967718
Viluppuram,1135540,4741,1444335,78.62026469
Virudhunagar,1074735,9393,1484256,72.40900492
Visakhapatnam,1239754,6728,1829300,67.77204395
Vizianagaram,1217890,8981,1503980,80.97780556
WEST DELHI                    ,1441601,4514,2371644,60.78488171
Warangal,1061645,1233,1666770,63.69475093
Wardha,1072570,5412,1743283,61.52586815
Wayanad,1092197,2282,1359679,80.32756261
Yavatmal-Washim,1174220,4243,1916185,61.27905187
Zahirabad,1044365,522,1498666,69.68630769
