,pc_name,party,max_total_votes,total_electors
4696,Jaipur,BJP,924065,2127021
4686,Jaipur Rural,BJP,820132,1952542
4210,Jajpur ,BJD,544020,1475007
4402,Jalandhar,INC,385712,1617018
6407,Jalaun,BJP,581763,1933358
3222,Jalgaon,BJP,713874,1931400
3486,Jalna,BJP,698019,1867220
4817,Jalore,BJP,772833,2071244
6905,Jalpaiguri,BJP,760145,1735464
1938,Jammu,BJP,858066,2047302
1391,Jamnagar,BJP,591588,1657166
7718,Jamshedpur,BJP,679632,1703279
1174,Jamui (SC),LJP,529134,1718814
6993,Jangipur,AITC,562838,1616213
6758,Jaunpur,BSP,521128,1867976
7117,Jaynagar,AITC,761202,1648355
624,Jhanjharpur,JD(U),602391,1852417
6411,Jhansi,BJP,809272,2040739
7288,Jhargram,BJP,626583,1641868
4659,Jhunjhunu,BJP,738163,1937882
4798,Jodhpur,BJP,788888,1956755
488,Jorhat,BJP,543288,1365035
1419,Junagadh,BJP,547744,1642864
7561,KANKER,BJP,546233,1558952
4740,KARAULI-DHOLPUR,BJP,526443,1810574
2835,KHAJURAHO,BJP,811135,1842095
3161,KHANDWA,BJP,838909,1909055
3152,KHARGONE,BJP,773550,1834385
7436,KORBA,INC,523310,1508840
1197,Kachchh,BJP,637034,1744321
282,Kadapa,YSRCP,783499,1570330
5839,Kairana,BJP,566961,1666703
6553,Kaiserganj,BJP,581358,1805946
65,Kakinada,YSRCP,537630,1563930
4238,Kalahandi,BJP,433074,1611056
479,Kaliabor,INC,786092,1734938
5199,Kallakurichi,DMK,721713,1528938
3589,Kalyan,SHS,559723,1965676
5050,Kancheepuram ,DMK,684004,1643992
4249,Kandhamal,BJD,461679,1288666
1827,Kangra,BJP,725218,1427338
6365,Kannauj,BJP,563087,1874824
5787,Kanniyakumari,INC,627235,1501250
2479,Kannur,INC,529741,1266550
6377,Kanpur,BJP,468937,1632983
7271,Kanthi,AITC,711872,1660147
1094,Karakat,JD(U),398408,1771254
358,Karimganj ,BJP,473046,1340173
7901,Karimnagar ,BJP,498276,1651543
1689,Karnal,BJP,911594,1904193
5376,Karur,INC,695697,1387286
2469,Kasaragod,INC,474961,1363937
690,Katihar,JD(U),559423,1653353
6460,Kaushambi,BJP,383009,1787120
4267,Kendrapara ,BJD,630179,1710916
4169,Keonjhar ,BJD,526359,1516688
4382,Khadoor Sahib,INC,459710,1638842
898,Khagaria,LJP,510193,1676454
8307,Khammam ,TRS,567459,1513809
1467,Kheda,BJP,714572,1804028
6168,Kheri,BJP,609589,1770699
7749,Khunti,BJP,382638,1202664
676,Kishanganj,INC,367017,1659651
7642,Kodarma,BJP,753016,1814125
415,Kokrajhar,IND,484560,1776358
2454,Kolar,BJP,709165,1629961
4064,Kolhapur,SHS,749085,1880496
7160,Kolkata Dakshin,AITC,573119,1728851
7173,Kolkata Uttar,AITC,474891,1444082
2666,Kollam,RSP,499677,1296720
2103,Koppal,BJP,586783,1736693
4330,Koraput ,INC,371129,1434384
4876,Kota,BJP,800051,1948010
2626,Kottayam,KEC(M),421046,1206698
2528,Kozhikode,INC,493444,1318024
5111,Krishnagiri,INC,611298,1530404
7032,Krishnanagar,AITC,614872,1631698
244,Kurnool,YSRCP,605462,1573009
1614,Kurukshetra,BJP,688629,1657335
6651,Kushi Nagar,BJP,597039,1761564
1918,Ladakh,BJP,42914,179232
509,Lakhimpur,BJP,776406,1708013
8573,Lakshadweep,NCP,22851,55189
6684,Lalganj,BSP,518820,1751980
3971,Latur ,BJP,661495,1886657
7764,Lohardaga,BJP,371595,1234286
6257,Lucknow,BJP,633026,2040367
4461,Ludhiana,INC,383795,1683325
7538,MAHASAMUND,BJP,616580,1637951
2963,MANDLA,BJP,737266,1951267
3100,MANDSOUR,BJP,847786,1760875
4128,MIZORAM,MNF,224286,792464
2715,MORENA,BJP,541689,1837723
6778,Machhlishahr,BJP,488397,1848306
131,Machilipatnam ,YSRCP,572850,1473347
3995,Madha,BJP,586314,1909574
716,Madhepura,JD(U),624334,1884883
604,Madhubani,BJP,595843,1792798
5584,Madurai,CPIM,447075,1539026
8292,Mahabubabad  ,TRS,462109,1424385
6624,Maharajganj,BJP,726349,1915408
8210,Mahbubnagar,TRS,411402,1506102
1238,Mahesana,BJP,659525,1648869
6070,Mainpuri,SP,524926,1723236
2541,Malappuram,IUML,589873,1370544
6981,Maldaha Dakshin,INC,444270,1575590
6965,Maldaha Uttar,BJP,509524,1685955
8126,Malkajgiri,INC,603748,3150313
