,state,party,total_votes
259,Chhattisgarh,FDLP,1519
260,Chhattisgarh,GGP,86097
261,Chhattisgarh,INC,5569183
262,Chhattisgarh,IND,259902
263,Chhattisgarh,IPBP,797
264,Chhattisgarh,KMSP,1854
265,Chhattisgarh,NOTA,196265
266,Chhattisgarh,PPID,6240
267,Chhattisgarh,PSPL,8887
268,Chhattisgarh,RGOP,1850
269,Chhattisgarh,RJsbhP,16902
270,Chhattisgarh,RP(K),1506
271,Chhattisgarh,RPI(A),2561
272,Chhattisgarh,SABHP,1210
273,Chhattisgarh,SDP(MP),12107
274,Chhattisgarh,SHS,50719
275,Chhattisgarh,SSBD,2802
276,Chhattisgarh,SSD,9060
277,Chhattisgarh,SUCI(C),3690
278,Chhattisgarh,SUSP,2568
279,Chhattisgarh,SWAP,966
280,Chhattisgarh,cvgrp,2187
281,Dadra & Nagar Haveli,BJP,81420
282,Dadra & Nagar Haveli,BMUP,1596
283,Dadra & Nagar Haveli,BSP,948
284,Dadra & Nagar Haveli,BTP,843
285,Dadra & Nagar Haveli,INC,8608
286,Dadra & Nagar Haveli,IND,97458
287,Dadra & Nagar Haveli,NOTA,2950
288,Dadra & Nagar Haveli,NSBHP,1160
289,Dadra & Nagar Haveli,SHS,4000
290,Daman & Diu,BJP,37597
291,Daman & Diu,BSP,792
292,Daman & Diu,INC,27655
293,Daman & Diu,IND,19938
294,Daman & Diu,NOTA,1487
295,Goa,AAAP,25647
296,Goa,BJP,436650
297,Goa,INC,366158
298,Goa,IND,7677
299,Goa,NOTA,12499
300,Goa,RPI(KM),2809
301,Goa,SHS,1763
302,Gujarat,ABJS,1034
303,Gujarat,ADPT,5682
304,Gujarat,AINHCP,1097
305,Gujarat,ANC,2804
306,Gujarat,APoI,1055
307,Gujarat,BAHUMP,713
308,Gujarat,BARESP,1692
309,Gujarat,BBC,497
310,Gujarat,BJP,18091275
311,Gujarat,BMFP,858
312,Gujarat,BMUP,20823
313,Gujarat,BNJD,5271
314,Gujarat,BRP,992
315,Gujarat,BSCP,613
316,Gujarat,BSDL,743
317,Gujarat,BSP,249184
318,Gujarat,BTP,180260
319,Gujarat,CPI,5735
320,Gujarat,GAGUP,10469
321,Gujarat,GJPP,1524
322,Gujarat,HND,22482
323,Gujarat,INC,9337084
324,Gujarat,IND,626629
325,Gujarat,JANSAPP,3646
326,Gujarat,JSVP,3330
327,Gujarat,LOGAP,635
328,Gujarat,LoRP,705
329,Gujarat,MaNPa,1887
330,Gujarat,NCP,27305
331,Gujarat,NIRBHP,2449
332,Gujarat,NOTA,400932
333,Gujarat,PAP,1346
334,Gujarat,PPID,2163
335,Gujarat,PPOI,1472
336,Gujarat,REALDP,532
337,Gujarat,RNNBP,811
338,Gujarat,RPWP,3762
339,Gujarat,RSP(S),3256
340,Gujarat,RSPS,3016
341,Gujarat,RTORP,3577
342,Gujarat,RVZP,1290
343,Gujarat,SABHP,604
344,Gujarat,SANVP,3282
345,Gujarat,STBSP,2142
346,Gujarat,SUCI(C),1614
347,Gujarat,SVPP,13884
348,Gujarat,VPP,14974
349,Gujarat,YJJP,10147
350,Gujarat,YuS,1296
351,Gujarat,aicp,3391
352,Haryana,AAAP,45498
353,Haryana,AAPP,6729
354,Haryana,ABD,716
355,Haryana,ABJS,1027
356,Haryana,AIFB,1523
357,Haryana,AJNSP,551
358,Haryana,AVIRP,471
359,Haryana,BAHUMP,357
360,Haryana,BHAPRAP,4587
361,Haryana,BHTJP,2209
362,Haryana,BJP,7357347
363,Haryana,BJSAP,766
364,Haryana,BKNP,2688
365,Haryana,BMUP,11162
366,Haryana,BSCP,4532
367,Haryana,BSP,461273
368,Haryana,CPI,7563
369,Haryana,CPIM,9150
370,Haryana,DKSP,346
371,Haryana,DSPVAD,422
372,Haryana,HCP,1192
373,Haryana,INC,3604106
374,Haryana,IND,135637
375,Haryana,INLD,240258
376,Haryana,JJJKP,1243
377,Haryana,JNJP,619970
378,Haryana,LPSP,478
379,Haryana,LTSP,55280
380,Haryana,MYSP,605
381,Haryana,NNMP,985
382,Haryana,NOTA,41781
383,Haryana,PPID,10849
384,Haryana,PSPL,8094
385,Haryana,RABSP,1777
386,Haryana,RASAP,527
387,Haryana,RGD,774
388,Haryana,RJAVP,535
389,Haryana,RMEP,509
390,Haryana,RMPOI,1851
391,Haryana,RPI,443
392,Haryana,RPI(A),2128
393,Haryana,RPIE,463
394,Haryana,RRP,1868
395,Haryana,RVP,477
396,Haryana,RaNP,658
397,Haryana,RasLP,9005
398,Haryana,SHS,6761
399,Haryana,SNP,5027
400,Haryana,SPAKP,770
401,Haryana,SUCI(C),5760
402,Haryana,ToP,330
403,Haryana,VoP,2478
404,Himachal Pradesh,AIFB,7097
405,Himachal Pradesh,APoI,1872
406,Himachal Pradesh,BJP,2661281
407,Himachal Pradesh,BMUP,473
408,Himachal Pradesh,BSCP,751
409,Himachal Pradesh,BSP,32780
410,Himachal Pradesh,CPIM,14838
411,Himachal Pradesh,HIMJKP,970
412,Himachal Pradesh,INC,1051113
413,Himachal Pradesh,IND,35710
414,Himachal Pradesh,NED,2371
415,Himachal Pradesh,NOTA,33008
416,Himachal Pradesh,PPID,511
417,Himachal Pradesh,RADM,3799
418,Himachal Pradesh,SWAP,1839
419,Himachal Pradesh,SatBP,2319
420,Jammu & Kashmir,AIFB,3866
421,Jammu & Kashmir,BJP,1648041
422,Jammu & Kashmir,BSP,30877
423,Jammu & Kashmir,DSSP,26588
424,Jammu & Kashmir,HND,1281
425,Jammu & Kashmir,INC,1011527
426,Jammu & Kashmir,IND,226239
427,Jammu & Kashmir,INDPP,1723
428,Jammu & Kashmir,JD(U),1250
429,Jammu & Kashmir,JKN,280356
430,Jammu & Kashmir,JKNPP,34044
431,Jammu & Kashmir,JKPDP,84054
432,Jammu & Kashmir,JKPPAP,1612
433,Jammu & Kashmir,JPC,133612
434,Jammu & Kashmir,MaNPa,2184
435,Jammu & Kashmir,NOTA,21739
436,Jammu & Kashmir,NRCP,2776
437,Jammu & Kashmir,PDP,36700
438,Jammu & Kashmir,PSPL,217
439,Jammu & Kashmir,RaJPa,506
440,Jammu & Kashmir,SHS,3430
441,Jharkhand,AAM,2627
442,Jharkhand,ABHM,3845
443,Jharkhand,AHNP,9786
444,Jharkhand,AIFB,15683
445,Jharkhand,AITC,72070
446,Jharkhand,AJSUP,648277
447,Jharkhand,AMB,8300
448,Jharkhand,ANC,4121
449,Jharkhand,APoI,25819
450,Jharkhand,BHAPRAP,3479
451,Jharkhand,BHAZS,1527
452,Jharkhand,BJKD,1842
453,Jharkhand,BJP,7623987
454,Jharkhand,BLRP,1088
455,Jharkhand,BLSD,13047
456,Jharkhand,BMFP,1206
457,Jharkhand,BMSM,1864
458,Jharkhand,BMUP,18007
459,Jharkhand,BSP,166519
460,Jharkhand,BYPP,1463
461,Jharkhand,BaSaPa,2701
462,Jharkhand,CPI,70843
463,Jharkhand,CPI(ML)(L),73211
464,Jharkhand,CPIM,41283
465,Jharkhand,HBP,2373
466,Jharkhand,HND,4987
467,Jharkhand,INC,2338466
468,Jharkhand,IND,621247
469,Jharkhand,JAC,3983
470,Jharkhand,JKP,35060
471,Jharkhand,JKP(N),7665
472,Jharkhand,JKPP,13975
473,Jharkhand,JKPS,1244
474,Jharkhand,JMM,1722635
475,Jharkhand,JMM(U),8672
476,Jharkhand,JPJD,4998
477,Jharkhand,JSVP,4164
478,Jharkhand,JVM,750799
479,Jharkhand,KS,5647
480,Jharkhand,MOSP,3254
481,Jharkhand,NOTA,189365
482,Jharkhand,PPID,6885
483,Jharkhand,PSPU,6580
484,Jharkhand,PSS,4286
485,Jharkhand,PUJP,4483
