,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
182,GWALIOR,1196096,3570,[2000744],59.78256089,0.17843362
183,Gadchiroli-Chimur,1142698,5340,[1581366],72.26018518,0.33768274
184,Gandhinagar,1284090,8637,[1945772],65.99385745,0.44388551
185,Ganganagar,1451765,7371,[1943486],74.69902021,0.37926695
186,Garhwal,742784,21435,[1355796],54.78582324,1.58099006
187,Gauhati,1763757,2517,[2181319],80.85736199,0.1153889
188,Gautam Buddha Nagar,1392952,3297,[2302960],60.4852885,0.14316358
189,Gaya (SC),957248,2146,[1704596],56.15688409,0.12589493
190,Ghatal,1488818,2218,[1800002],82.71201921,0.12322209
191,Ghaziabad,1524456,2564,[2728978],55.86179148,0.09395459
192,Ghazipur,1105627,5737,[1881077],58.77627551,0.30498486
193,Ghosi,1140781,3664,[1991651],57.27815767,0.18396797
194,Giridih,1106918,3228,[1649413],67.10981422,0.19570599
195,Godda,1194036,5067,[1716766],69.55147061,0.29514797
196,Gonda,923816,1632,[1770248],52.18568246,0.09219047
197,Gopalganj (SC),1024876,9482,[1839514],55.7144985,0.51546224
198,Gorakhpur,1184635,3413,[1981197],59.79390237,0.17226959
199,Gulbarga,1189361,3716,[1945765],61.12562411,0.19097887
200,Guntur,1351474,5264,[1706119],79.21334913,0.30853651
201,Gurdaspur,1103887,10459,[1595284],69.19689535,0.65561994
202,Gurgaon,1446509,5071,[2150728],67.25671494,0.23578063
203,HOSHANGABAD,1265869,1190,[1706141],74.19486432,0.06974805
204,Hajipur (SC),1006817,2731,[1823664],55.20847042,0.14975346
205,Hamirpur,1089778,1892,[1749100],62.30507118,0.10816992
206,Hardoi,1057558,2166,[1807119],58.52176863,0.11985929
207,Hardwar,1271030,5817,[1840738],69.05002233,0.31601456
208,Hassan,1277552,3114,[1652999],77.28691911,0.18838487
209,Hathras,1150294,6259,[1864320],61.70045915,0.33572563
210,Hatkanangle,1252211,5955,[1776555],70.48534945,0.3351993
211,Haveri,1266679,3383,[1708510],74.13939632,0.19800879
212,Hazaribagh,1080929,1774,[1667465],64.82468897,0.10638904
213,Hindupur,1338514,11671,[1578218],84.8117307,0.73950494
214,Hingoli ,1157516,5321,[1733729],66.76452894,0.30691071
215,Hisar,1179869,4769,[1631817],72.30400223,0.29225091
216,Hooghly,1457842,2374,[1766601],82.52242583,0.13438235
217,Hoshiarpur,990791,8949,[1597500],62.02134585,0.56018779
218,Howrah,1222293,934,[1633925],74.80716679,0.05716297
219,Hyderabad,877872,605,[1957931],44.83671794,0.03089997
220,INDORE,1629108,2372,[2350580],69.30663921,0.10091126
221,Idukki,919297,1729,[1204191],76.34146078,0.14358187
222,Inner manipur,759301,4728,[937464],80.99521688,0.50433937
223,JABALPUR,1263573,962,[1819893],69.43116985,0.05286025
224,JANJGIR-CHAMPA,1247650,4670,[1897134],65.76499077,0.24616079
225,JHALAWAR-BARAN,1369868,592,[1903870],71.95176141,0.03109456
226,Jadavpur,1436894,2068,[1816857],79.08679659,0.11382294
227,Jagatsinghpur ,1229190,3575,[1643595],74.7866719,0.217511
228,Jahanabad,822065,5091,[1588454],51.75252163,0.32050031
229,Jaipur,1456404,8480,[2127021],68.47153836,0.39867966
230,Jaipur Rural,1276693,13397,[1952542],65.38619912,0.68613121
231,Jajpur ,1092084,6236,[1475007],74.03924185,0.42277765
232,Jalandhar,1018998,789,[1617018],63.01710927,0.04879352
233,Jalaun,1129955,3172,[1933358],58.4452026,0.16406687
234,Jalgaon,1088277,7701,[1931400],56.34653619,0.39872631
235,Jalna,1208139,4318,[1867220],64.70255246,0.23125288
236,Jalore,1361619,820,[2071244],65.73918862,0.03958973
237,Jalpaiguri,1500922,3211,[1735464],86.4853434,0.18502256
238,Jammu,1478795,23505,[2047302],72.23140504,1.14809637
239,Jamnagar,1010965,6183,[1657166],61.00565665,0.37310686
240,Jamshedpur,1144226,909,[1703279],67.17783757,0.05336765
241,Jamui (SC),949137,1831,[1718814],55.22046015,0.10652694
242,Jangipur,1304504,1588,[1616213],80.71361881,0.09825438
243,Jaunpur,1040652,2092,[1867976],55.7101376,0.11199287
244,Jaynagar,1356102,711,[1648355],82.27002072,0.04313391
245,Jhanjharpur,1060562,1310,[1852417],57.25287557,0.07071842
246,Jhansi,1380890,1483,[2040739],67.66617387,0.07266975
247,Jhargram,1406214,4908,[1641868],85.64720185,0.29892781
248,Jhunjhunu,1198927,19040,[1937882],61.86790527,0.98251596
249,Jodhpur,1346243,11258,[1956755],68.79977309,0.5753403
250,Jorhat,1057965,3726,[1365035],77.50460611,0.27296003
251,Junagadh,1004743,7718,[1642864],61.1580143,0.46978934
252,KANKER,1159193,4364,[1558952],74.35719637,0.27993165
253,KARAULI-DHOLPUR,998044,3623,[1810574],55.12307147,0.20010229
254,KHAJURAHO,1257783,1013,[1842095],68.28002899,0.05499173
255,KHANDWA,1468138,1797,[1909055],76.90391319,0.09413034
256,KHARGONE,1427607,2309,[1834385],77.82482958,0.12587325
257,KORBA,1136903,1867,[1508840],75.34947377,0.12373744
258,Kachchh,1023198,8003,[1744321],58.65881337,0.45880317
259,Kadapa,1228242,8594,[1570330],78.21553431,0.5472735
260,Kairana,1124047,3184,[1666703],67.44134978,0.19103584
261,Kaiserganj,981400,1577,[1805946],54.34271014,0.08732266
262,Kakinada,1234655,7256,[1563930],78.94566892,0.46395938
263,Kalahandi,1228292,5386,[1611056],76.24142178,0.33431488
264,Kaliabor,1424687,3016,[1734938],82.11745895,0.17383907
265,Kallakurichi,1204375,5952,[1528938],78.77199729,0.38928982
266,Kalyan,890313,2358,[1965676],45.29296792,0.11995873
267,Kancheepuram ,1237612,5195,[1643992],75.28090161,0.3159991
268,Kandhamal,941985,2487,[1288666],73.09768396,0.19299027
269,Kangra,1006989,15847,[1427338],70.55014299,1.11024859
270,Kannauj,1140496,3396,[1874824],60.83216345,0.181137
271,Kanniyakumari,1048377,5752,[1501250],69.83360533,0.38314738
272,Kannur,1053842,5917,[1266550],83.20571632,0.46717461
273,Kanpur,842994,4741,[1632983],51.62295015,0.29032758
274,Kanthi,1424247,2497,[1660147],85.79041495,0.15040837
275,Karakat,868798,4291,[1771254],49.04988217,0.24225775
276,Karimganj ,1060072,1453,[1340173],79.09963863,0.10841884
277,Karimnagar ,1147697,1159,[1651543],69.49240801,0.0701768
278,Karnal,1300722,2696,[1904193],68.30830698,0.14158229
279,Karur,1103165,5218,[1387286],79.51965204,0.37613008
280,Kasaragod,1100051,3908,[1363937],80.65262545,0.2865235
281,Katihar,1117734,710,[1653353],67.60407487,0.04294304
282,Kaushambi,974438,2753,[1787120],54.52560544,0.15404673
283,Kendrapara ,1238214,3341,[1710916],72.37140806,0.19527551
284,Keonjhar ,1176292,2766,[1516688],77.55662338,0.18237106
285,Khadoor Sahib,1046032,5396,[1638842],63.82750747,0.32925688
286,Khagaria,966813,1701,[1676454],57.670118,0.10146416
287,Khammam ,1139831,1406,[1513809],75.29556239,0.0928783
288,Kheda,1098633,4595,[1804028],60.89888849,0.2547078
289,Kheri,1136660,457,[1770699],64.19272841,0.02580902
290,Khunti,832377,1951,[1202664],69.21110135,0.1622232
291,Kishanganj,1101603,612,[1659651],66.37558137,0.03687522
292,Kodarma,1209541,1287,[1814125],66.67352029,0.07094329
293,Kokrajhar,1479485,9921,[1776358],83.28754677,0.55850228
294,Kolar,1258551,2180,[1629961],77.21356523,0.13374553
295,Kolhapur,1330852,5444,[1880496],70.77132842,0.28949809
296,Kolkata Dakshin,1206645,2409,[1728851],69.79462082,0.1393411
297,Kolkata Uttar,950613,1160,[1444082],65.82818704,0.08032785
298,Kollam,968123,6835,[1296720],74.65937134,0.52709914
299,Koppal,1190347,2637,[1736693],68.54101445,0.15184031
300,Koraput ,1080161,3789,[1434384],75.30486955,0.26415521
301,Kota,1367034,6902,[1948010],70.17592312,0.3543103
302,Kottayam,910339,2620,[1206698],75.44049961,0.21712143
303,Kozhikode,1076193,4660,[1318024],81.6520033,0.35355957
304,Krishnagiri,1161369,3576,[1530404],75.8864326,0.23366379
305,Krishnanagar,1366443,5112,[1631698],83.74362168,0.31329327
306,Kurnool,1188327,6170,[1573009],75.54483159,0.39224188
307,Kurukshetra,1230202,2740,[1657335],74.22772101,0.16532566
308,Kushi Nagar,1053117,3938,[1761564],59.78306777,0.22355134
309,Ladakh,126426,3133,[179232],70.53762721,1.74801375
310,Lakhimpur,1283589,3561,[1708013],75.1510088,0.20848787
311,Lakshadweep,47009,132,[55189],85.1782058,0.2391781
312,Lalganj,960568,2246,[1751980],54.82756652,0.12819781
313,Latur ,1176542,6078,[1886657],62.36120291,0.32215713
314,Lohardaga,817550,3690,[1234286],66.23667448,0.29895826
315,Lucknow,1116445,9345,[2040367],54.71785223,0.45800584
316,Ludhiana,1046955,2067,[1683325],62.19565443,0.12279269
317,MAHASAMUND,1222335,2575,[1637951],74.62585877,0.15720861
318,MANDLA,1517255,3296,[1951267],77.75742633,0.16891589
319,MANDSOUR,1370667,2431,[1760875],77.8401079,0.13805636
320,MIZORAM,499621,2841,[792464],63.04652325,0.35850209
321,MORENA,1137290,4522,[1837723],61.88582284,0.24606538
