,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12
2545,Karnataka,Chamarajanagar,R. DHRUVANARAYANA,M,53.0,SC,INC,567587,195,567782,1555781, 
7145,Uttar Pradesh,Chandauli,DR MAHENDRA NATH PANDEY,M,57.0,GEN,BJP,413760,375,414135,1593133, 
3620,Maharashtra,Chandrapur,AHIR HANSRAJ GANGARAM,M,59.0,GEN,BJP,507503,546,508049,1753690, 
7825,Jharkhand,Chatra,SUNIL KUMAR SINGH,M,52.0,GEN,BJP,295857,5,295862,1312562, 
5002,Tamil Nadu,Chennai North,VENKATESH BABU .T.G,M,53.0,GEN,ADMK,406552,152,406704,1422392, 
5046,Tamil Nadu,Chennai South,DR. J. JAYAVARDHAN,M,26.0,GEN,ADMK,434229,311,434540,1795776, 
5083,Tamil Nadu,Chennai central,S.R. VIJAYAKUMAR,M,40.0,GEN,ADMK,333103,193,333296,1328038, 
1787,Gujarat,Chhota Udaipur,RAMSINH RATHWA,M,62.0,ST,BJP,604843,3073,607916,1536305, 
5578,Tamil Nadu,Chidambaram ,"CHANDRAKASI, M",M,45.0,SC,ADMK,428858,678,429536,1366190, 
2644,Karnataka,Chikkballapur,M VEERAPPA MOILY,M,74.0,GEN,INC,424491,309,424800,1658410, 
2224,Karnataka,Chikkodi,PRAKASH BABANNA HUKKERI,M,67.0,GEN,INC,474301,72,474373,1442206, 
2479,Karnataka,Chitradurga,B.N.CHANDRAPPA,M,58.0,SC,INC,467372,139,467511,1661277, 
633,Andhra Pradesh,Chittoor ,NARAMALLI SIVAPRASAD,M,62.0,SC,TDP,590938,3924,594862,1451851, 
4917,Rajasthan,Chittorgarh,CHANDRA PRAKASH JOSHI,M,38.0,GEN,BJP,701190,2046,703236,1819506, 
4661,Rajasthan,Churu,RAHUL KASWAN ,M,37.0,GEN,BJP,593163,2593,595756,1753825, 
5420,Tamil Nadu,Coimbatore,"NAGARAJAN, P.",M,52.0,GEN,ADMK,430909,808,431717,1720221, 
7265,West Bengal,Cooch behar,RENUKA SINHA,F,65.0,SC,AITC,525275,1224,526499,1613403, 
5559,Tamil Nadu,Cuddalore ,ARUNMOZHITHEVAN.A,M,45.0,GEN,ADMK,480352,1077,481429,1247908, 
3061,Madhya Pradesh,DAMOH,PRAHALAD SINGH PATEL,M,54.0,GEN,BJP,512770,309,513079,1651614, 
3266,Madhya Pradesh,DEWAS,MANOHAR UNTWAL,M,47.0,SC,BJP,664985,661,665646,1617111, 
3318,Madhya Pradesh,DHAR,SAVITRI THAKUR,F,35.0,ST,BJP,557816,571,558387,1668441, 
8145,Dadra & Nagar Haveli,Dadar & Nagar Haveli,PATEL NATUBHAI GOMANBHAI,M,41.0,ST,BJP,80790,0,80790,196597, 
1767,Gujarat,Dahod,JASVANTSINH SUMANBHAI BHABHOR,M,47.0,ST,BJP,508838,2273,511111,1411765, 
2465,Karnataka,Dakshina Kannada,NALIN KUMAR KATEEL,M,48.0,GEN,BJP,642452,287,642739,1565219, 
8156,Daman & Diu,Daman & diu,PATEL LALUBHAI BABUBHAI,M,58.0,GEN,BJP,46956,4,46960,111827, 
1033,Bihar,Darbhanga,KIRTI AZAD,M,55.0,GEN,BJP,314933,16,314949,1495445, 
