,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12
259,Telangana,Khammam ,PONGULETI  SRINIVASA REDDY,M,48.0,GEN,YSRCP,418609,3825,422434,1440267, 
1737,Gujarat,Kheda,CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH),M,49.0,GEN,BJP,565826,2409,568235,1599476, 
6320,Uttar Pradesh,Kheri,AJAY KUMAR,M,55.0,GEN,BJP,398563,15,398578,1679466, 
7970,Jharkhand,Khunti,KARIA MUNDA,M,77.0,ST,BJP,269160,25,269185,1111856, 
971,Bihar,Kishanganj,MOHAMMAD ASRARUL HAQUE,M,67.0,GEN,INC,493294,167,493461,1438990, 
7844,Jharkhand,Kodarma,RAVINDRA KR. RAY,M,50.0,GEN,BJP,365405,5,365410,1639645, 
712,Assam,Kokrajhar,NABA KUMAR SARANIA (HIRA),M,45.0,ST,IND,634111,317,634428,1505472, 
2664,Karnataka,Kolar,K.H.MUNIYAPPA,M,67.0,SC,INC,418349,577,418926,1492977, 
4296,Maharashtra,Kolhapur,DHANANJAY BHIMRAO MAHADIK,M,42.0,GEN,NCP,607184,481,607665,1758293, 
7540,West Bengal,Kolkata Dakshin,SUBRATA BAKSHI,M,64.0,GEN,AITC,431119,596,431715,1685296, 
7557,West Bengal,Kolkata Uttar,SUDIP BANDYOPADHYAY,M,62.0,GEN,AITC,343389,298,343687,1433985, 
2926,Kerala,Kollam,N.K.PREMACHANDRAN,M,53.0,GEN,RSP,407021,1507,408528,1219415, 
2326,Karnataka,Koppal,KARADI SANGANNA AMARAPPA,M,59.0,GEN,BJP,486188,195,486383,1535105, 
4958,Rajasthan,Kota,OM BIRLA ,M,51.0,GEN,BJP,641365,3457,644822,1744539, 
2870,Kerala,Kottayam,JOSE K. MANI,M,49.0,GEN,KEC(M),423463,731,424194,1161465, 
2740,Kerala,Kozhikode,M .K RAGHAVAN,M,61.0,GEN,INC,396219,1396,397615,1182484, 
5190,Tamil Nadu,Krishnagiri,ASHOK KUMAR.K,M,60.0,GEN,ADMK,480441,50,480491,1379957, 
7408,West Bengal,Krishnanagar,TAPAS PAUL,M,57.0,GEN,AITC,438140,649,438789,1476783, 
544,Andhra Pradesh,Kurnool,BUTTA RENUKA,F,42.0,GEN,YSRCP,471525,1257,472782,1481791, 
1875,Haryana,Kurukshetra,RAJ KUMAR SAINI,M,60.0,GEN,BJP,417961,151,418112,1498459, 
6960,Uttar Pradesh,Kushi Nagar,RAJESH PANDEY URF GUDDU,M,55.0,GEN,BJP,369917,134,370051,1680992, 
2183,Jammu & Kashmir,Ladakh,THUPSTAN CHHEWANG,M,67.0,ST,BJP,30731,380,31111,166763, 
817,Assam,Lakhimpur,SARBANANDA SONOWAL,M,52.0,ST,BJP,612134,409,612543,1431080, 
8319,Lakshadweep,Lakshadweep,MOHAMMED FAIZAL P.P.,M,38.0,ST,NCP,21665,0,21665,49922, 
7003,Uttar Pradesh,Lalganj,NEELAM SONKAR,F,38.0,SC,BJP,324004,12,324016,1661470, 
4188,Maharashtra,Latur ,DR. SUNIL BALIRAM GAIKWAD,M,43.0,SC,BJP,614557,1952,616509,1686957, 
7988,Jharkhand,Lohardaga,SUDARSHAN BHAGAT,M,45.0,ST,BJP,226579,87,226666,1119144, 
6436,Uttar Pradesh,Lucknow,RAJ NATH SINGH,M,62.0,GEN,BJP,559033,2073,561106,1949956, 
4486,Punjab,Ludhiana,RAVNEET SINGH BITTU,M,38.0,GEN,INC,300424,35,300459,1561201, 
3166,Madhya Pradesh,MANDLA,FAGGAN SINGH KULASTE,M,54.0,ST,BJP,584540,1180,585720,1824702, 
3292,Madhya Pradesh,MANDSOUR,SUDHIR GUPTA,M,54.0,GEN,BJP,697620,715,698335,1626556, 
4357,Mizoram,MIZORAM,C. L. RUALA,M,78.0,ST,INC,209573,912,210485,702170, 
2973,Madhya Pradesh,MORENA,ANOOP MISHRA,M,57.0,GEN,BJP,375526,41,375567,1702457, 
7111,Uttar Pradesh,Machhlishahr,RAM CHARITRA NISHAD,M,46.0,SC,BJP,437723,487,438210,1891969, 
431,Andhra Pradesh,Machilipatnam ,KONAKALLA NARAYANA RAO,M,64.0,GEN,TDP,583374,3906,587280,1369311, 
4223,Maharashtra,Madha,MOHITE PATIL VIJAYSINH SHANKARRAO,M,69.0,GEN,NCP,489260,729,489989,1727322, 
1020,Bihar,Madhepura,RAJESH RANJAN @ PAPPU YADAV,M,46.0,GEN,RJD,368876,61,368937,1725693, 
912,Bihar,Madhubani,HUKM DEO NARAYAN YADAV,M,77.0,GEN,BJP,357989,51,358040,1627832, 
5664,Tamil Nadu,Madurai,R.GOPALAKRISHNAN,M,45.0,GEN,ADMK,453366,419,453785,1441434, 
236,Telangana,Mahabubabad  ,PROF. AZMEERA SEETARAM NAIK,M,56.0,ST,TRS,319388,1181,320569,1387288, 
6921,Uttar Pradesh,Maharajganj,PANKAJ,M,44.0,GEN,BJP,471541,1,471542,1743131, 
185,Telangana,Mahbubnagar,AP JITHENDER REDDY,M,60.0,GEN,TRS,332581,1647,334228,1418668, 
1534,Gujarat,Mahesana,PATEL JAYSHREEBEN KANUBHAI,F,55.0,GEN,BJP,577225,3025,580250,1498219, 
6219,Uttar Pradesh,Mainpuri,MULAYAM SINGH YADAV,M,74.0,GEN,SP,595455,463,595918,1653058, 
2753,Kerala,Malappuram,E. AHAMED,M,76.0,GEN,IUML,437520,203,437723,1198444, 
7354,West Bengal,Maldaha Dakshin,ABU HASEM KHAN CHOWDHURY,M,70.0,GEN,INC,379646,645,380291,1347143, 
7341,West Bengal,Maldaha Uttar,MAUSAM NOOR,F,34.0,GEN,INC,388241,368,388609,1425428, 
88,Telangana,Malkajgiri,CH.MALLA REDDY,M,56.0,GEN,TDP,522423,933,523356,3183083, 
2112,Himachal Pradesh,Mandi,RAM SWAROOP SHARMA,M,55.0,GEN,BJP,362338,486,362824,1150408, 
2512,Karnataka,Mandya,C.S.PUTTARAJU,M,50.0,GEN,JD(S),523942,428,524370,1669262, 
754,Assam,Mangaldoi,RAMEN DEKA,M,59.0,GEN,BJP,486230,127,486357,1515676, 
6140,Uttar Pradesh,Mathura,HEMA MALINI,F,65.0,GEN,BJP,574451,182,574633,1682260, 
7495,West Bengal,Mathurapur,CHOUDHURY MOHAN JATUA,M,75.0,SC,AITC,629612,650,630262,1488785, 
4016,Maharashtra,Maval,APPA ALIAS SHRIRANG CHANDU BARNE,M,50.0,GEN,SHS,512030,196,512226,1953741, 
2899,Kerala,Mavelikkara ,KODIKUNNIL SURESH,M,52.0,SC,INC,401485,947,402432,1252668, 
5593,Tamil Nadu,Mayiladuthurai,BHARATHI MOHAN R.K,M,47.0,GEN,ADMK,512756,973,513729,1350318, 
73,Telangana,Medak,KALVAKUNTLA CHANDRASEKHAR RAO,M,60.0,GEN,TRS,655484,2008,657492,1536166, 
7677,West Bengal,Medinipur,SANDHYA ROY,F,73.0,GEN,AITC,579881,560,580441,1499673, 
6032,Uttar Pradesh,Meerut,RAJENDRA AGARWAL,M,64.0,GEN,BJP,531898,1083,532981,1764388, 
7226,Uttar Pradesh,Mirzapur,ANUPRIYA SINGH PATEL,F,33.0,GEN,AD,436500,36,436536,1720661, 
6378,Uttar Pradesh,Misrikh,ANJU BALA,F,34.0,SC,BJP,412468,107,412575,1725589, 
6415,Uttar Pradesh,Mohanlalganj,KAUSHAL KISHORE,M,53.0,SC,BJP,454392,882,455274,1838194, 
5972,Uttar Pradesh,Moradabad,KUNWER SARVESH KUMAR,M,62.0,GEN,BJP,484023,1201,485224,1771985, 
3983,Maharashtra,Mumbai   South,ARVIND SAWANT,M,62.0,GEN,SHS,374079,530,374609,1485844, 
3881,Maharashtra,Mumbai North,GOPAL CHINAYYA SHETTY,M,60.0,GEN,BJP,663309,695,664004,1783870, 
3918,Maharashtra,Mumbai North East,KIRIT  SOMAIYA,M,60.0,GEN,BJP,524895,390,525285,1668357, 
3904,Maharashtra,Mumbai North West,GAJANAN CHANDRAKANT KIRTIKAR,M,70.0,GEN,SHS,464522,298,464820,1775416, 
3940,Maharashtra,Mumbai North central,POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,F,33.0,GEN,BJP,478264,271,478535,1737084, 
3963,Maharashtra,Mumbai South central,RAHUL RAMESH SHEWALE,M,41.0,GEN,SHS,380747,261,381008,1447886, 
1269,Bihar,Munger,VEENA DEVI,F,41.0,GEN,LJP,352863,48,352911,1719984, 
7396,West Bengal,Murshidabad,BADARUDDOZA KHAN,M,60.0,GEN,CPM,426858,89,426947,1512098, 
5924,Uttar Pradesh,Muzaffarnagar,(DR.) SANJEEV KUMAR BALYAN,M,41.0,GEN,BJP,649938,3453,653391,1588475, 
1049,Bihar,Muzaffarpur,AJAY NISHAD,M,45.0,GEN,BJP,469282,13,469295,1551363, 
2530,Karnataka,Mysore,PRATHAP SIMHA,M,37.0,GEN,BJP,502543,1365,503908,1723134, 
8236,NCT OF Delhi,NEW DELHI                     ,MEENAKASHI LEKHI,F,46.0,GEN,BJP,452480,870,453350,1490147, 
8189,NCT OF Delhi,NORTH EAST DELHI              ,MANOJ TIWARI,M,43.0,GEN,BJP,593346,2779,596125,1957708, 
8264,NCT OF Delhi,NORTH WEST DELHI              ,UDIT RAJ,M,56.0,SC,BJP,627529,2331,629860,2194343, 
4361,Nagaland,Nagaland,NEIPHIU RIO,M,63.0,ST,NPF,712888,484,713372,1182972, 
5613,Tamil Nadu,Nagapattinam ,GOPAL. DR. K,M,54.0,SC,ADMK,433242,932,434174,1210626, 
192,Telangana,Nagar Kurnool,YELLAIAH NANDI,M,71.0,SC,INC,419040,1035,420075,1477305, 
4830,Rajasthan,Nagaur,C R CHOUDHARY,M,66.0,GEN,BJP,412745,2046,414791,1678660, 
5955,Uttar Pradesh,Nagina,YASHWANT SINGH,M,52.0,SC,BJP,367683,142,367825,1493419, 
3547,Maharashtra,Nagpur ,GADKARI NITIN JAIRAM,M,56.0,GEN,BJP,586857,910,587767,1900784, 
8068,Uttarakhand,Nainital-udhamsingh Nagar,BHAGAT SINGH KOSHYARI,M,72.0,GEN,BJP,635318,1451,636769,1610811, 
1281,Bihar,Nalanda,KAUSHLENDRA KUMAR,M,49.0,GEN,JD(U),321938,44,321982,1951967, 
200,Telangana,Nalgonda,GUTHA SUKHENDER REDDY,M,60.0,GEN,INC,467984,4109,472093,1494343, 
5338,Tamil Nadu,Namakkal,SUNDARAM P.R,M,62.0,GEN,ADMK,562899,373,563272,1329552, 
3690,Maharashtra,Nanded,ASHOK SHANKARRAO CHAVAN,M,55.0,GEN,INC,491292,1783,493075,1687057, 
3381,Maharashtra,Nandurbar ,DR.GAVIT HEENA VIJAYKUMAR,F,26.0,ST,BJP,578166,1320,579486,1672943, 
527,Andhra Pradesh,Nandyal,S.P.Y REDDY,M,64.0,GEN,YSRCP,620061,2350,622411,1576945, 
401,Andhra Pradesh,Narasapuram,GOKARAJU GANGA RAJU,M,69.0,GEN,BJP,537498,2808,540306,1325028, 
481,Andhra Pradesh,Narasaraopet,SAMBASIVA RAO RAYAPATI,M,70.0,GEN,TDP,629706,2758,632464,1514861, 
3794,Maharashtra,Nashik,GODSE HEMANT TUKARAM,M,43.0,GEN,SHS,493605,1130,494735,1593774, 
1827,Gujarat,Navsari,C. R. PATIL,M,59.0,GEN,BJP,818367,2464,820831,1764622, 
1447,Bihar,Nawada,GIRIRAJ SINGH,M,61.0,GEN,BJP,390205,43,390248,1694895, 
598,Andhra Pradesh,Nellore,MEKAPATI RAJAMOHAN REDDY,M,69.0,GEN,YSRCP,573203,3193,576396,1606127, 
5409,Tamil Nadu,Nilgiris ,"GOPALAKRISHNAN, C.",M,52.0,SC,ADMK,463270,430,463700,1269173, 
46,Telangana,Nizamabad,KALVAKUNTLA KAVITHA,F,36.0,GEN,TRS,435706,3601,439307,1496193, 
1477,Goa,North Goa,SHRIPAD YESSO NAIK,M,61.0,GEN,BJP,236926,977,237903,515441, 
777,Assam,Nowgong,RAJEN GOHAIN ,M,63.0,GEN,BJP,494005,141,494146,1523881, 
512,Andhra Pradesh,Ongole ,Y.V.SUBBA REDDY,M,53.0,GEN,YSRCP,584516,5345,589861,1470212, 
4158,Maharashtra,Osmanabad,GAIKWAD RAVINDRA VISHWANATH,M,54.0,GEN,SHS,606351,1348,607699,1759186, 
4337,Manipur,Outer manipur,THANGSO BAITE,M,61.0,ST,INC,296618,152,296770,919009, 
2776,Kerala,Palakkad,M B RAJESH,M,43.0,GEN,CPM,412427,470,412897,1208726, 
7998,Jharkhand,Palamau,VISHNU DAYAL RAM,M,62.0,SC,BJP,475738,775,476513,1645957, 
3812,Maharashtra,Palghar ,ADV. CHINTAMAN NAVASHA WANGA,M,63.0,ST,BJP,532996,205,533201,1578149, 
4843,Rajasthan,Pali,P P CHAUDHARY,M,60.0,GEN,BJP,708015,3757,711772,1902094, 
1754,Gujarat,Panchmahal,CHAUHAN PRABHATSINH PRATAPSINH,M,72.0,GEN,BJP,504707,3567,508274,1576667, 
3715,Maharashtra,Parbhani,JADHAV SANJAY (BANDU) HARIBHAU,M,47.0,GEN,SHS,578067,388,578455,1803792, 
847,Bihar,Paschim Champaran,DR. SANJAY JAISWAL,M,49.0,GEN,BJP,371138,94,371232,1413148, 
1326,Bihar,Pataliputra,RAM KRIPAL YADAV,M,53.0,GEN,BJP,382232,1030,383262,1736074, 
1520,Gujarat,Patan,LILADHARBHAI KHODAJI VAGHELA,M,80.0,GEN,BJP,515579,2959,518538,1628641, 
2906,Kerala,Pathanamthitta,ANTO ANTONY,M,57.0,GEN,INC,358435,407,358842,1323906, 
4617,Punjab,Patiala,DR. DHARAM VIRA GANDHI,M,63.0,GEN,AAAP,365644,27,365671,1580273, 
1306,Bihar,Patna Sahib,SHATRUGHANA SINHA,M,67.0,GEN,BJP,484458,1447,485905,1946249, 
11,Telangana,Pedipalp ,BALKA SUMAN,M,31.0,SC,TRS,563214,2282,565496,1425355, 
5541,Tamil Nadu,Perambalur,"MARUTHARAJAA, R.P.",M,51.0,GEN,ADMK,462077,616,462693,1285576, 
6723,Uttar Pradesh,Phulpur,KESHAV PRASAD MAURYA,M,47.0,GEN,BJP,503011,553,503564,1913275, 
6292,Uttar Pradesh,Pilibhit,MANEKA SANJAY GANDHI,F,57.0,GEN,BJP,546815,119,546934,1671154, 
5446,Tamil Nadu,Pollachi,MAHENDRAN.C,M,42.0,GEN,ADMK,416366,726,417092,1381505, 
2766,Kerala,Ponnani,E. T. MOHAMMED BASHEER,M,67.0,GEN,IUML,378409,94,378503,1180789, 
1640,Gujarat,Porbandar,RADADIYA VITHALBHAI  HANSRAJBHAI,M,55.0,GEN,BJP,506002,2435,508437,1539223, 
6544,Uttar Pradesh,Pratapgarh,KUWAR HARIVANSH SINGH,M,64.0,GEN,AD,375099,690,375789,1716394, 
8325,Puducherry,Puducherry,R. RADHAKRISHNAN,M,42.0,GEN,AINRC,255732,94,255826,901357, 
4034,Maharashtra,Pune,ANIL SHIROLE,M,63.0,GEN,BJP,569535,290,569825,1835835, 
1004,Bihar,Purnia,SANTOSH KUMAR,M,35.0,GEN,JD(U),418717,109,418826,1582626, 
7688,West Bengal,Purulia,DR. MRIGANKA MAHATO,M,51.0,GEN,AITC,466980,1297,468277,1471933, 
859,Bihar,Purvi Champaran,RADHA MOHAN SINGH,M,64.0,GEN,BJP,400435,17,400452,1439253, 
3259,Madhya Pradesh,RAJGARH,RODMAL NAGAR,M,53.0,GEN,BJP,596201,526,596727,1578757, 
3306,Madhya Pradesh,RATLAM,DILEEPSINGH BHURIA,M,68.0,ST,BJP,544453,1527,545980,1702576, 
3104,Madhya Pradesh,REWA,JANARDAN MISHRA,M,58.0,GEN,BJP,383246,74,383320,1544719, 
6466,Uttar Pradesh,Rae Bareli,SONIA GANDHI,F,67.0,GEN,INC,526433,1,526434,1594954, 
2290,Karnataka,Raichur,B.V.NAYAK,M,48.0,ST,INC,443533,126,443659,1661606, 
4003,Maharashtra,Raigad,ANANT GEETE,M,63.0,GEN,SHS,395951,227,396178,1532781, 
7316,West Bengal,Raiganj,MD. SALIM,M,56.0,GEN,CPM,316863,652,317515,1387526, 
387,Andhra Pradesh,Rajahmundry,MURALI MOHAN MAGANTI,M,73.0,GEN,TDP,627653,2920,630573,1421276, 
627,Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,M,36.0,GEN,YSRCP,599650,2102,601752,1487791, 
1623,Gujarat,Rajkot,KUNDARIYA MOHANBHAI KALYANJIBHAI,M,62.0,GEN,BJP,619495,2029,621524,1655717, 
7780,Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,M,31.0,ST,JMM,379337,170,379507,1353467, 
4933,Rajasthan,Rajsamand,HARIOM SINGH RATHORE,M,56.0,GEN,BJP,641020,3774,644794,1701194, 
5747,Tamil Nadu,Ramanathapuram,ANWAR RAAJHAA. A ,M,65.0,GEN,ADMK,405470,475,405945,1455988, 
5991,Uttar Pradesh,Rampur,DR. NEPAL SINGH,M,74.0,GEN,BJP,358590,26,358616,1616972, 
3524,Maharashtra,Ramtek ,KRUPAL BALAJI TUMANE,M,48.0,SC,SHS,519214,678,519892,1677266, 
7418,West Bengal,Ranaghat,TAPAS MANDAL,M,42.0,SC,AITC,588545,1906,590451,1602849, 
7915,Jharkhand,Ranchi,RAM TAHAL CHOUDHARY,M,72.0,GEN,BJP,448617,112,448729,1648459, 
4286,Maharashtra,Ratnagiri - sindhudurg,VINAYAK BHAURAO RAUT,M,60.0,GEN,SHS,492900,188,493088,1367362, 
3431,Maharashtra,Raver,KHADASE RAKSHA NIKHIL,F,26.0,GEN,BJP,605064,388,605452,1593389, 
7248,Uttar Pradesh,Robertsganj,CHHOTELAL,M,41.0,SC,BJP,378095,116,378211,1639074, 
2005,Haryana,Rohtak,DEEPENDER SINGH HOODA,M,36.0,GEN,INC,489900,163,490063,1567508, 
3036,Madhya Pradesh,SAGAR,LAXMI NARAYAN YADAV,M,73.0,GEN,BJP,482462,118,482580,1520322, 
3090,Madhya Pradesh,SATNA,GANESH SINGH,M,51.0,GEN,BJP,375169,119,375288,1458381, 
3134,Madhya Pradesh,SHAHDOL,DALPAT SINGH PARASTE,M,61.0,ST,BJP,524876,543,525419,1561016, 
3121,Madhya Pradesh,SIDHI,RITI PATHAK,F,36.0,GEN,BJP,475286,392,475678,1736048, 
8299,NCT OF Delhi,SOUTH DELHI                   ,RAMESH BIDHURI,M,52.0,GEN,BJP,497151,829,497980,1752748, 
1549,Gujarat,Sabarkantha,RATHOD DIPSINH SHANKARSINH,M,62.0,GEN,BJP,549061,3144,552205,1615840, 
5896,Uttar Pradesh,Saharanpur,RAGHAV LAKHANPAL,M,39.0,GEN,BJP,472261,738,472999,1608833, 
5313,Tamil Nadu,Salem,PANNERSELVAM.V,M,55.0,GEN,ADMK,556061,485,556546,1498350, 
7057,Uttar Pradesh,Salempur,RAVINDRA KUSHAWAHA,M,50.0,GEN,BJP,391636,577,392213,1661737, 
1192,Bihar,Samastipur (SC),RAM CHANDRA PASWAN,M,53.0,SC,LJP,270391,10,270401,1504451, 
6004,Uttar Pradesh,Sambhal,SATYAPAL SINGH,M,40.0,GEN,BJP,359678,564,360242,1693229, 
4249,Maharashtra,Sangli,SANJAYKAKA PATIL,M,49.0,GEN,BJP,609402,2161,611563,1649107, 
4598,Punjab,Sangrur,BHAGWANT MANN,M,40.0,GEN,AAAP,533191,46,533237,1424743, 
6896,Uttar Pradesh,Sant Kabir Nagar,SHARAD TRIPATHI,M,42.0,GEN,BJP,348884,8,348892,1904315, 
1142,Bihar,Saran,RAJIV PRATAP RUDY,M,53.0,GEN,BJP,354738,382,355120,1538740, 
1375,Bihar,Sasaram (SC),CHHEDI PASWAN,M,58.0,SC,BJP,365576,511,366087,1607747, 
4265,Maharashtra,Satara,SHRIMANT CHH.  UDAYANRAJE PRATAPSINHA BHONSALE,M,48.0,GEN,NCP,522153,378,522531,1719998, 
120,Telangana,Secundrabad,BANDARU DATTATREYA,M,66.0,GEN,BJP,437860,411,438271,1893741, 
6304,Uttar Pradesh,Shahjahanpur,KRISHNA RAJ,F,46.0,SC,BJP,524025,1107,525132,1979294, 
875,Bihar,Sheohar,RAMA DEVI,F,65.0,GEN,BJP,372388,118,372506,1485801, 
4348,Meghalaya,Shillong,VINCENT H. PALA,M,46.0,ST,INC,209288,52,209340,980740, 
2134,Himachal Pradesh,Shimla,VIRENDER KASHYAP,M,63.0,SC,BJP,385517,456,385973,1153363, 
2426,Karnataka,Shimoga,B. S. YEDDYURAPPA,M,71.0,GEN,BJP,605654,562,606216,1562243, 
4105,Maharashtra,Shirdi,LOKHANDE SADASHIV KISAN,M,52.0,SC,SHS,532577,359,532936,1462267, 
4074,Maharashtra,Shirur,ADHALRAO SHIVAJI DATTATREY,M,59.0,GEN,SHS,642828,587,643415,1824112, 
6831,Uttar Pradesh,Shrawasti,DADDAN MISHRA,M,47.0,GEN,BJP,345872,92,345964,1788080, 
4687,Rajasthan,Sikar,SUMEDHANAND SARASWATI ,M,62.0,GEN,BJP,496393,3035,499428,1769882, 
4978,Sikkim,Sikkim,PREM DAS RAI,M,59.0,GEN,SDF,159704,3994,163698,370770, 
673,Assam,Silchar,SUSHMITA DEV  ,F,41.0,GEN,INC,336426,25,336451,1060175, 
7960,Jharkhand,Singhbhum,LAXMAN GILUWA,M,52.0,ST,BJP,303079,52,303131,1152632, 
1896,Haryana,Sirsa,CHARANJEET SINGH RORI,M,43.0,SC,INLD,506213,157,506370,1660557, 
897,Bihar,Sitamarhi,RAM KUMAR SHARMA,M,50.0,GEN,BLSP,411222,43,411265,1574914, 
6347,Uttar Pradesh,Sitapur,RAJESH VERMA,M,53.0,GEN,BJP,417215,331,417546,1550263, 
5638,Tamil Nadu,Sivaganga,SENTHILNATHAN PR,M,46.0,GEN,ADMK,475726,267,475993,1412373, 
1116,Bihar,Siwan,OM PRAKASH YADAV,M,48.0,GEN,BJP,372659,11,372670,1563860, 
4205,Maharashtra,Solapur ,SHARAD BANSODE,M,46.0,SC,BJP,517176,703,517879,1702739, 
1982,Haryana,Sonipat,RAMESH CHANDER,M,54.0,GEN,BJP,346979,224,347203,1417188, 
1485,Goa,South Goa,ADV. NARENDRA KESHAV SAWAIKAR,M,47.0,GEN,BJP,198176,600,198776,545336, 
7603,West Bengal,Srerampur,KALYAN BANERJEE,M,57.0,GEN,AITC,514484,449,514933,1624038, 
296,Andhra Pradesh,Srikakulam,RAMMOHAN NAIDU KINJARAPU,M,27.0,GEN,TDP,552348,4197,556545,1413726, 
2155,Jammu & Kashmir,Srinagar,TARIQ HAMEED KARRA,M,58.0,GEN,JKPDP,157923,0,157923,1207230, 
5104,Tamil Nadu,Sriperumbudur,"RAMACHANDRAN, K.N. THIRU",M,59.0,GEN,ADMK,545643,177,545820,1946503, 
6519,Uttar Pradesh,Sultanpur,FEROZE VARUN GANDHI,M,34.0,GEN,BJP,410317,31,410348,1703698, 
944,Bihar,Supaul,RANJEET RANJAN,F,41.0,GEN,INC,332925,2,332927,1525583, 
1818,Gujarat,Surat,DARSHANA VIKRAM JARDOSH,F,53.0,GEN,BJP,717429,983,718412,1484068, 
1607,Gujarat,Surendranagar,FATEPARA DEVAJIBHAI GOVINDBHAI,M,55.0,GEN,BJP,526006,2997,529003,1656657, 
3049,Madhya Pradesh,TIKAMGARH,DR. VIRENDRA KUMAR,M,60.0,SC,BJP,422636,343,422979,1528863, 
4794,Rajasthan,TONK-SAWAI MADHOPUR,SUKHBIR SINGH JAUNAPURIA ,M,56.0,GEN,BJP,548146,391,548537,1710775, 
7629,West Bengal,Tamluk,ADHIKARI SUVENDU,M,44.0,GEN,AITC,715556,1372,716928,1527273, 
8030,Uttarakhand,Tehri Garhwal,MALA RAJYA LAXMI SHAH,F,64.0,GEN,BJP,443199,3534,446733,1352614, 
5796,Tamil Nadu,Tenkasi ,VASANTHI.M,F,52.0,SC,ADMK,424009,577,424586,1382081, 
766,Assam,Tezpur,RAM PRASAD SARMAH,M,58.0,GEN,BJP,446406,105,446511,1259568, 
3857,Maharashtra,Thane,VICHARE RAJAN BABURAO,M,52.0,GEN,SHS,594804,560,595364,2073251, 
5626,Tamil Nadu,Thanjavur,PARASURAMAN.K,M,53.0,GEN,ADMK,509587,720,510307,1340050, 
5698,Tamil Nadu,Theni ,"PARTHIPAN, R.",M,50.0,GEN,ADMK,570919,335,571254,1441302, 
4986,Tamil Nadu,Thiruvallur ,VENUGOPAL.P.(DR),M,61.0,SC,ADMK,628370,129,628499,1702833, 
2954,Kerala,Thiruvananthapuram,DR. SHASHI THAROOR,M,58.0,GEN,INC,296319,1487,297806,1272748, 
5783,Tamil Nadu,Thoothukkudi,JEYASINGH THIYAGARAJ NATTERJEE.J,M,60.0,GEN,ADMK,365382,670,366052,1310406, 
2805,Kerala,Thrissur,C. N. JAYADEVAN,M,63.0,GEN,CPI,388774,435,389209,1275288, 
5508,Tamil Nadu,Tiruchirappalli,KUMAR.P,M,42.0,GEN,ADMK,457377,1101,458478,1387140, 
5816,Tamil Nadu,Tirunelveli,PRABAKARAN.K.R.P,M,33.0,GEN,ADMK,397777,362,398139,1420435, 
613,Andhra Pradesh,Tirupati ,VARAPRASAD RAO VELAGAPALLI,M,61.0,SC,YSRCP,578289,2087,580376,1574161, 
5381,Tamil Nadu,Tiruppur,V.SATHYABAMA,F,42.0,GEN,ADMK,442300,478,442778,1375589, 
5225,Tamil Nadu,Tiruvannamalai,VANAROJA R,F,55.0,GEN,ADMK,499337,1414,500751,1352966, 
5881,Tripura,Tripura East,JITENDRA CHAUDHURY,M,57.0,ST,CPM,620251,3520,623771,1140276, 
5868,Tripura,Tripura West,SANKAR PRASAD DATTA,M,56.0,GEN,CPM,667086,4579,671665,1248546, 
2498,Karnataka,Tumkur,MUDDAHANUMEGOWDA.S.P.,M,59.0,GEN,INC,429635,233,429868,1518518, 
4355,Meghalaya,Tura ,PURNO AGITOK SANGMA,M,66.0,ST,NPEP,239239,62,239301,586501, 
3277,Madhya Pradesh,UJJAIN,PROF. CHINTAMANI MALVIYA,M,44.0,SC,BJP,640751,350,641101,1525481, 
4900,Rajasthan,Udaipur,ARJUNLAL MEENA ,M,49.0,ST,BJP,657260,3113,660373,1817940, 
2189,Jammu & Kashmir,Udhampur,DR. JITENDRA SINGH,M,57.0,GEN,BJP,486820,549,487369,1469072, 
2441,Karnataka,Udupi Chikmagalur,SHOBHA KARANDLAJE,F,47.0,GEN,BJP,580450,718,581168,1387294, 
1172,Bihar,Ujiarpur,NITYANAND RAI,M,48.0,GEN,BJP,317339,13,317352,1426217, 
7592,West Bengal,Uluberia,SULTAN AHMED,M,58.0,GEN,AITC,570598,187,570785,1448632, 
6396,Uttar Pradesh,Unnao,SAKSHI MAHARAJ,M,58.0,GEN,BJP,518039,795,518834,2164392, 
2394,Karnataka,Uttara Kannada,ANANTKUMAR HEGDE,M,46.0,GEN,BJP,546476,463,546939,1450599, 
3218,Madhya Pradesh,VIDISHA,SUSHMA SWARAJ,F,62.0,GEN,BJP,713556,792,714348,1634039, 
2711,Kerala,Vadakara,MULLAPPALLY RAMACHANDRAN,M,67.0,GEN,INC,415445,1034,416479,1182504, 
1777,Gujarat,Vadodara,NARENDRA MODI,M,63.0,GEN,BJP,841592,3872,845464,1638321, 
1079,Bihar,Vaishali,RAMA KISHORE SINGH,M,51.0,GEN,LJP,305446,4,305450,1566321, 
832,Bihar,Valmiki Nagar,SATISH CHANDRA DUBEY,M,39.0,GEN,BJP,363860,153,364013,1456598, 
1848,Gujarat,Valsad,DR. K.C.PATEL,M,65.0,ST,BJP,616415,1357,617772,1512061, 
