,party,state,total_votes,split_votes,vote_perc
89,ABSC,Uttar Pradesh,2530,520018484,0.0004865211675821893
724,NMK,Tamil Nadu,2511,520018484,0.000482867451303904
673,MHD,Bihar,2482,520018484,0.0004772907264581003
264,BMF,Uttar Pradesh,2456,520018484,0.0004722909041825521
688,MaSPa,Uttar Pradesh,2425,520018484,0.0004663295776232446
881,RVP,Uttar Pradesh,2396,520018484,0.0004607528527774409
99,ADSMK,Tamil Nadu,2372,520018484,0.00045613763221539637
98,ADPT,Uttar Pradesh,2363,520018484,0.0004544069245046297
504,IND,Arunachal Pradesh,2362,520018484,0.00045421462364787785
1016,VIP,Haryana,2350,520018484,0.0004519070133668556
993,SaDa,Uttar Pradesh,2329,520018484,0.00044786869537506675
892,RsAD,Uttar Pradesh,2329,520018484,0.00044786869537506675
999,TECPI,Telangana,2311,520018484,0.00044440727995353335
132,AITC,Andaman & Nicobar Islands,2283,520018484,0.0004390228559644815
139,AITC,Karnataka,2276,520018484,0.0004376767499672185
741,PBI,Bihar,2271,520018484,0.0004367152456834592
546,IUML,Punjab,2261,520018484,0.0004347922371159407
92,ABVCP,Madhya Pradesh,2255,520018484,0.00043363843197542957
973,SUCI,Gujarat,2249,520018484,0.00043248462683491846
75,ABHM,Madhya Pradesh,2244,520018484,0.00043152312255115917
854,RRP,Uttar Pradesh,2225,520018484,0.00042786940627287395
579,JD(U),West Bengal,2205,520018484,0.00042402338913783685
548,IUML,Telangana,2197,520018484,0.0004224849822838221
696,NAJC,Haryana,2196,520018484,0.0004222926814270702
882,RWSP,Uttar Pradesh,2181,520018484,0.0004194081685757924
425,DaP,Maharashtra,2175,520018484,0.0004182543634352813
537,IPP,Uttar Pradesh,2155,520018484,0.0004144083463002442
841,RPI(A),Punjab,2151,520018484,0.00041363914287323683
710,NCP,Punjab,2149,520018484,0.00041325454115973307
294,BRPI,Uttar Pradesh,2138,520018484,0.00041113923173546267
186,ATBP,NCT OF Delhi,2135,520018484,0.00041056232916520714
811,RKSP,Karnataka,2129,520018484,0.000409408524024696
719,NLP,Haryana,2126,520018484,0.00040883162145444044
141,AITC,Madhya Pradesh,2114,520018484,0.0004065240111734182
660,MAHP,Madhya Pradesh,2101,520018484,0.0004040241000356441
783,RAKP,Haryana,2096,520018484,0.0004030625957518848
691,NADP,Madhya Pradesh,2078,520018484,0.0003996011803303515
323,BSP,Puducherry,2060,520018484,0.00039613976490881814
861,RSP,Telangana,2058,520018484,0.00039575516319531443
1010,UPP,Uttarakhand,2045,520018484,0.00039325525205754033
104,AGRJP,Uttar Pradesh,2037,520018484,0.0003917168452035255
181,ARWP,Uttar Pradesh,2029,520018484,0.00039017843834951064
824,RPC(S),Andhra Pradesh,2025,520018484,0.0003894092349225033
119,AIFB,Telangana,2015,520018484,0.0003874862263549847
670,MDPF,Manipur,2005,520018484,0.0003855632177874662
1036,bjyp,Madhya Pradesh,2000,520018484,0.0003846017135037069
340,BhNP,Uttar Pradesh,2000,520018484,0.0003846017135037069
935,SLP(L),Jharkhand,1997,520018484,0.00038402481093345137
648,LPI(V),Uttar Pradesh,1993,520018484,0.0003832556075064439
1042,kajp,NCT OF Delhi,1992,520018484,0.0003830633066496921
146,AITC,Sikkim,1972,520018484,0.00037921728951465503
371,CPI(ML)(L),Chandigarh,1968,520018484,0.0003784480860876476
748,PECP,Uttarakhand,1964,520018484,0.00037767888266064016
815,RLD,Uttarakhand,1958,520018484,0.00037652507752012905
461,IBSPK,Haryana,1952,520018484,0.00037537127237961793
1033,asdp,Karnataka,1949,520018484,0.0003747943698093624
200,BC,Madhya Pradesh,1936,520018484,0.0003722944586715883
552,IVD,Punjab,1930,520018484,0.0003711406535310772
915,SHS,Assam,1922,520018484,0.00036960224667706237
164,AMP,Uttar Pradesh,1920,520018484,0.00036921764496355866
879,RVNP,Maharashtra,1917,520018484,0.0003686407423933031
961,SPP,NCT OF Delhi,1866,520018484,0.00035883339869895853
1037,bns,Maharashtra,1862,520018484,0.0003580641952719512
816,RMGP,Uttar Pradesh,1835,520018484,0.0003528720721396511
850,RPI(KH),Telangana,1813,520018484,0.00034864145329111033
600,JMBP,Jammu & Kashmir,1809,520018484,0.00034787224986410287
695,NADP,Uttarakhand,1793,520018484,0.0003447954361560733
392,CPM,Andaman & Nicobar Islands,1777,520018484,0.0003417186224480436
604,JMBP,NCT OF Delhi,1766,520018484,0.0003396033130237732
189,Aa S P,NCT OF Delhi,1749,520018484,0.0003363341984589917
190,Aa S P,Uttar Pradesh,1733,520018484,0.00033325738475096204
1043,kajp,Uttar Pradesh,1730,520018484,0.0003326804821807065
734,NRSN,Maharashtra,1725,520018484,0.0003317189778969472
779,RAHM,Madhya Pradesh,1724,520018484,0.0003315266770401954
302,BSDL,Gujarat,1723,520018484,0.0003313343761834435
868,RSPS,Uttar Pradesh,1723,520018484,0.0003313343761834435
782,RAHM,West Bengal,1720,520018484,0.00033075747361318794
922,SHS,NCT OF Delhi,1708,520018484,0.0003284498633321657
682,MOSP,Uttar Pradesh,1695,520018484,0.0003259499521943916
73,ABHM,Haryana,1689,520018484,0.0003247961470538805
199,BBPSP,Madhya Pradesh,1679,520018484,0.00032287313848636197
827,RPI,Haryana,1665,520018484,0.000320180926491836
1034,bhp,Rajasthan,1635,520018484,0.0003144119007892804
1051,raup,Uttarakhand,1629,520018484,0.0003132580956487693
185,ASaP,Uttar Pradesh,1617,520018484,0.000310950485367747
826,RPI,Andhra Pradesh,1614,520018484,0.0003103735827974915
704,NCP,Dadra & Nagar Haveli,1611,520018484,0.0003097966802272359
293,BRMD,Madhya Pradesh,1607,520018484,0.0003090274768002285
105,AIACP,Telangana,1593,520018484,0.00030633526480570257
306,BSKP,Uttar Pradesh,1591,520018484,0.00030595066309219886
889,RaMSP,Uttar Pradesh,1572,520018484,0.00030229694681391364
893,RshJP,Uttar Pradesh,1571,520018484,0.00030210464595716176
154,AKAKRP,Jammu & Kashmir,1568,520018484,0.00030152774338690623
0, ,Andaman & Nicobar Islands,1564,520018484,0.0003007585399598988
273,BMUP,Himachal Pradesh,1538,520018484,0.0002957587176843506
878,RVNP,Haryana,1536,520018484,0.0002953741159708469
830,RPI,Punjab,1531,520018484,0.0002944126116870876
895,RtrJP,Uttar Pradesh,1526,520018484,0.0002934511074033284
884,RaBaP,Uttar Pradesh,1521,520018484,0.0002924896031195691
