,state,party,votes,total_votes_statewise,split_votes_perc
31,Andhra Pradesh,JaSPa,189130,28934993,0.6536376214087903
32,Andhra Pradesh,MCPI,4195,28934993,0.014498016294664387
33,Andhra Pradesh,MaSP,16298,28934993,0.05632626211452686
34,Andhra Pradesh,NOTA,185562,28934993,0.6413065315066777
35,Andhra Pradesh,NPT,1455,28934993,0.005028513398983715
36,Andhra Pradesh,PPOI,72410,28934993,0.25025062214461224
37,Andhra Pradesh,RDHP,4112,28934993,0.014211166389430265
38,Andhra Pradesh,RJD,3473,28934993,0.012002767721422983
39,Andhra Pradesh,RP(K),11778,28934993,0.040705038359608384
40,Andhra Pradesh,RPC(S),2025,28934993,0.006998446483121665
41,Andhra Pradesh,RPI,1614,28934993,0.005578021048769565
42,Andhra Pradesh,RPI(KH),9703,28934993,0.03353379072875532
43,Andhra Pradesh,RPS,4521,28934993,0.015624679777873109
44,Andhra Pradesh,SDP,11393,28934993,0.039374469522076606
45,Andhra Pradesh,STR,6542,28934993,0.022609302169176265
46,Andhra Pradesh,SUCI,952,28934993,0.0032901338528058396
47,Andhra Pradesh,TDP,11729219,28934993,40.53645010385868
48,Andhra Pradesh,WPOI,9529,28934993,0.03293244273465005
49,Andhra Pradesh,YSRCP,13131029,28934993,45.38113764188573
50,Andhra Pradesh,pjdl,27743,28934993,0.09588044483024412
51,Andhra Pradesh,sps,4323,28934993,0.01494038723285677
52,Arunachal Pradesh,AAAP,3647,596956,0.6109327990672679
53,Arunachal Pradesh,AITC,9135,596956,1.530263537011103
54,Arunachal Pradesh,BJP,275344,596956,46.124672505176264
55,Arunachal Pradesh,INC,246084,596956,41.22313872379204
56,Arunachal Pradesh,IND,2362,596956,0.39567405302903397
57,Arunachal Pradesh,LB,980,596956,0.16416620320425626
58,Arunachal Pradesh,NCP,6065,596956,1.0159877779936881
59,Arunachal Pradesh,NOTA,6321,596956,1.0588720106674527
60,Arunachal Pradesh,PPA,47018,596956,7.876292390058899
61,Assam,AAAP,28613,15085883,0.1896673863903094
62,Assam,AGP,577730,15085883,3.8296067919922216
63,Assam,AIFB,20579,15085883,0.13641230016168096
64,Assam,AITC,106661,15085883,0.7070252367726835
65,Assam,AIUDF,2237612,15085883,14.832489420738582
66,Assam,BJP,5507152,15085883,36.505334159094296
67,Assam,BOPF,330106,15085883,2.1881781795603215
68,Assam,CPI,28930,15085883,0.19176868864752564
69,Assam,CPI(ML)(L),42015,15085883,0.2785054080029654
70,Assam,CPM,64945,15085883,0.4305018141795213
71,Assam,INC,4467295,15085883,29.61241977019177
72,Assam,IND,1436900,15085883,9.52479878042273
73,Assam,IUML,1455,15085883,0.009644778499210156
74,Assam,JMM,9263,15085883,0.061401775421432075
75,Assam,LB,4348,15085883,0.02882164736396272
76,Assam,NOTA,147057,15085883,0.9747987572222321
77,Assam,SHS,1922,15085883,0.012740387818200631
78,Assam,SP,24650,15085883,0.1633977938182339
79,Assam,SUCI,37850,15085883,0.2508968152543673
80,Assam,rdsc,10800,15085883,0.07159010844774549
81,Bihar,AAAP,338637,35885332,0.9436641132371298
82,Bihar,ABJS,15745,35885332,0.043875865492898326
83,Bihar,AIFB,12179,35885332,0.0339386577223251
84,Bihar,AITC,46850,35885332,0.13055473473117093
85,Bihar,AKBMP,11221,35885332,0.03126904329601855
86,Bihar,APCP,15370,35885332,0.04283087028427102
87,Bihar,BBC,3344,35885332,0.009318570607065861
88,Bihar,BBMP,10160,35885332,0.028312403519075706
89,Bihar,BED,83906,35885332,0.23381698126688644
90,Bihar,BEMP,8729,35885332,0.02432470180295392
91,Bihar,BIP,4600,35885332,0.012818607892494907
92,Bihar,BJJD,4664,35885332,0.012996953741433967
93,Bihar,BJKD,8541,35885332,0.023800810871695433
94,Bihar,BJKVP,21524,35885332,0.05997993832131747
95,Bihar,BJP,10543025,35885332,29.37976162516763
96,Bihar,BJPARTY,6765,35885332,0.018851713563636532
97,Bihar,BLSP,1078473,35885332,3.0053309803571
