,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
190,Hassan,1147172,664,[1652999],69.39943702,0.04016941
191,Hathras,1049273,33,[1864320],56.28180784,0.00177008
192,Hatkanangle,1188871,2144,[1776555],66.92002218,0.12068301
193,Haveri,1115968,510,[1708510],65.31820124,0.02985057
194,Hazaribagh,967152,24,[1667465],58.00133736,0.00143931
195,Hindupur,1177257,6474,[1578218],74.59406749,0.41020949
196,Hingoli ,1051164,2079,[1733729],60.63023691,0.11991493
197,Hisar,1155914,745,[1631817],70.83600673,0.04565463
198,Hooghly,1348870,2853,[1766601],76.35397014,0.16149657
199,Hoshiarpur,961297,697,[1597500],60.17508607,0.04363067
200,Howrah,1125399,364,[1633925],68.87702924,0.02227764
201,Hyderabad,971421,195,[1957931],49.61466977,0.00995949
202,INDORE,1316817,921,[2350580],56.02093951,0.03918182
203,Idukki,819766,1169,[1204191],68.07607763,0.09707762
204,Inner manipur,640870,42,[937464],68.36209177,0.00448017
205,JABALPUR,1002184,52,[1819893],55.06829248,0.00285731
206,JHALAWAR-BARAN,1146364,122,[1903870],60.21230441,0.006408
207,Jadavpur,1272362,2014,[1816857],70.03093804,0.11085077
208,Jahanabad,811516,513,[1588454],51.08841679,0.03229555
209,Jaipur,1296806,4738,[2127021],60.96818038,0.22275285
210,Jaipur Rural,1013691,5580,[1952542],51.91647606,0.2857813
211,Jalandhar,1040762,53,[1617018],64.36304358,0.00327764
212,Jalaun,1109166,320,[1933358],57.36992321,0.01655151
213,Jalgaon,990332,511,[1931400],51.27534431,0.02645749
214,Jalna,1066259,733,[1867220],57.10409057,0.03925622
215,Jalore,1087272,344,[2071244],52.49367047,0.01660838
216,Jalpaiguri,1302117,2497,[1735464],75.02990555,0.14388083
217,Jammu,1253593,2064,[2047302],61.23146463,0.10081561
218,Jamnagar,852643,3588,[1657166],51.45187628,0.21651422
219,Jamshedpur,1049140,18,[1703279],61.59531116,0.00105679
220,Jamui (SC),775639,42,[1718814],45.12640693,0.00244355
221,Jangipur,1119084,726,[1616213],69.24112107,0.04491982
222,Jaunpur,1007143,826,[1867976],53.91627087,0.04421898
223,Jhanjharpur,941249,110,[1852417],50.81193921,0.00593819
224,Jhansi,1320804,363,[2040739],64.72184831,0.01778767
225,Jhargram,1257613,1277,[1641868],76.59647426,0.07777726
226,Jhunjhunu,1006465,4926,[1937882],51.93634081,0.25419504
227,Jodhpur,1078598,7115,[1956755],55.12177048,0.3636122
228,Jorhat,931336,464,[1365035],68.22799415,0.0339918
229,Junagadh,941378,3897,[1642864],57.3010304,0.23720771
230,KARAULI-DHOLPUR,845941,864,[1810574],46.72225493,0.04771967
231,KHAJURAHO,874477,194,[1842095],47.47187306,0.01053149
232,KHANDWA,1257327,1731,[1909055],65.86122453,0.09067313
233,KHARGONE,1152525,803,[1834385],62.82895902,0.04377489
234,Kachchh,946240,4057,[1744321],54.24689607,0.23258334
235,Kadapa,1200662,11270,[1570330],76.45921558,0.71768354
236,Kairana,1119324,1125,[1666703],67.15797596,0.06749853
237,Kaiserganj,943357,944,[1805946],52.23616874,0.05227177
238,Kakinada,1099999,6066,[1563930],70.33556489,0.38786902
239,Kaliabor,1166490,581,[1734938],67.23525567,0.03348823
240,Kallakurichi,1107241,3579,[1528938],72.41896009,0.23408405
241,Kalyan,824196,598,[1965676],41.92939223,0.0304221
242,Kancheepuram ,1128399,1343,[1643992],68.63774276,0.0816914
243,Kangra,799445,1456,[1427338],56.00950861,0.10200807
244,Kannauj,1114460,591,[1874824],59.44344642,0.03152296
245,Kanniyakumari,990742,628,[1501250],65.99447127,0.04183181
246,Kannur,947117,2378,[1266550],74.7792823,0.18775414
247,Kanpur,835079,361,[1632983],51.13825435,0.02210678
248,Kanthi,1290811,1733,[1660147],77.75281346,0.10438835
249,Karakat,789927,127,[1771254],44.59704819,0.00717006
250,Karimganj ,886920,1216,[1340173],66.17951563,0.09073455
251,Karimnagar ,1125184,5543,[1651543],68.12925852,0.33562553
252,Karnal,1193500,142,[1904193],62.67747019,0.00745723
253,Karur,1046534,2677,[1387286],75.43750892,0.1929667
254,Kasaragod,974215,1424,[1363937],71.42668613,0.10440365
255,Katihar,977830,296,[1653353],59.14224004,0.01790301
256,Kaushambi,910414,586,[1787120],50.94308161,0.03279019
257,Khadoor Sahib,1040518,204,[1638842],63.49105039,0.01244781
258,Khagaria,896231,130,[1676454],53.45992195,0.00775446
259,Khammam ,1183849,7100,[1513809],78.20332684,0.46901558
260,Kheda,955906,4583,[1804028],52.98731505,0.25404262
261,Kheri,1077868,20,[1770699],60.87245771,0.0011295
262,Khunti,736955,29,[1202664],61.27688199,0.00241131
263,Kishanganj,928490,268,[1659651],55.94489444,0.01614797
264,Kodarma,1024906,5,[1814125],56.49588645,0.00027561
265,Kokrajhar,1223869,655,[1776358],68.89765464,0.0368732
266,Kolar,1127315,1342,[1629961],69.16208425,0.08233326
267,Kolhapur,1260289,1303,[1880496],67.01896734,0.06929023
268,Kolkata Dakshin,1167986,1694,[1728851],67.5585114,0.09798415
269,Kolkata Uttar,955778,995,[1444082],66.18585371,0.0689019
270,Kollam,879056,3135,[1296720],67.79073354,0.24176383
271,Koppal,1006508,298,[1736693],57.95543599,0.01715905
272,Kota,1154960,5191,[1948010],59.28922336,0.26647707
273,Kottayam,831636,1452,[1206698],68.91832091,0.12032837
274,Kozhikode,943009,2682,[1318024],71.54717972,0.20348643
275,Krishnagiri,1068391,134,[1530404],69.81104336,0.00875586
276,Krishnanagar,1247914,1846,[1631698],76.47947108,0.11313368
277,Kurnool,1065732,3052,[1573009],67.75116989,0.19402305
278,Kurukshetra,1135892,241,[1657335],68.53726012,0.01454142
279,Kushi Nagar,950446,382,[1761564],53.95466756,0.02168528
280,Ladakh,118029,865,[179232],65.85263792,0.48261471
281,Lakhimpur,1111975,573,[1708013],65.1034272,0.03354775
282,Lakshadweep,43239,0,[55189],78.34713439,0
283,Lalganj,898655,40,[1751980],51.29367915,0.00228313
284,Latur ,1057156,2623,[1886657],56.03329063,0.13902898
285,Lohardaga,651460,127,[1234286],52.78031186,0.01028935
286,Lucknow,1033883,3308,[2040367],50.67142333,0.1621277
287,Ludhiana,1100457,223,[1683325],65.3740068,0.01324759
288,MANDLA,1218518,1604,[1951267],62.44752768,0.082203
289,MANDSOUR,1161349,975,[1760875],65.95294953,0.0553702
290,MIZORAM,433201,7500,[792464],54.66506996,0.94641523
291,MORENA,854279,42,[1837723],46.48573262,0.00228544
292,Machhlishahr,997902,1109,[1848306],53.99008606,0.06000089
293,Machilipatnam ,1141065,7795,[1473347],77.44713228,0.52906749
294,Madha,1079619,1446,[1909574],56.53716483,0.0757237
295,Madhepura,1034799,148,[1884883],54.89990625,0.00785195
296,Madhubani,860453,105,[1792798],47.99497768,0.00585677
