pc_name,party,max_total_votes,total_electors
Kaushambi,BJP,331724,1738509
Khadoor Sahib,SAD,467332,1563409
Khagaria,LJP,313806,1506587
Khammam ,YSRCP,422434,1440267
Kheda,BJP,568235,1599476
Kheri,BJP,398578,1679466
Khunti,BJP,269185,1111856
Kishanganj,INC,493461,1438990
Kodarma,BJP,365410,1639645
Kokrajhar,IND,634428,1505472
Kolar,INC,418926,1492977
Kolhapur,NCP,607665,1758293
Kolkata Dakshin,AITC,431715,1685296
Kolkata Uttar,AITC,343687,1433985
Kollam,RSP,408528,1219415
Koppal,BJP,486383,1535105
Kota,BJP,644822,1744539
Kottayam,KEC(M),424194,1161465
Kozhikode,INC,397615,1182484
Krishnagiri,ADMK,480491,1379957
Krishnanagar,AITC,438789,1476783
Kurnool,YSRCP,472782,1481791
Kurukshetra,BJP,418112,1498459
Kushi Nagar,BJP,370051,1680992
Ladakh,BJP,31111,166763
Lakhimpur,BJP,612543,1431080
Lakshadweep,NCP,21665,49922
Lalganj,BJP,324016,1661470
Latur ,BJP,616509,1686957
Lohardaga,BJP,226666,1119144
Lucknow,BJP,561106,1949956
Ludhiana,INC,300459,1561201
MANDLA,BJP,585720,1824702
MANDSOUR,BJP,698335,1626556
MIZORAM,INC,210485,702170
MORENA,BJP,375567,1702457
Machhlishahr,BJP,438210,1891969
Machilipatnam ,TDP,587280,1369311
Madha,NCP,489989,1727322
Madhepura,RJD,368937,1725693
Madhubani,BJP,358040,1627832
Madurai,ADMK,453785,1441434
Mahabubabad  ,TRS,320569,1387288
Maharajganj,BJP,471542,1743131
Mahbubnagar,TRS,334228,1418668
Mahesana,BJP,580250,1498219
Mainpuri,SP,595918,1653058
Malappuram,IUML,437723,1198444
Maldaha Dakshin,INC,380291,1347143
Maldaha Uttar,INC,388609,1425428
Malkajgiri,TDP,523356,3183083
Mandi,BJP,362824,1150408
Mandya,JD(S),524370,1669262
Mangaldoi,BJP,486357,1515676
Mathura,BJP,574633,1682260
Mathurapur,AITC,630262,1488785
Maval,SHS,512226,1953741
Mavelikkara ,INC,402432,1252668
Mayiladuthurai,ADMK,513729,1350318
Medak,TRS,657492,1536166
Medinipur,AITC,580441,1499673
Meerut,BJP,532981,1764388
Mirzapur,AD,436536,1720661
Misrikh,BJP,412575,1725589
Mohanlalganj,BJP,455274,1838194
Moradabad,BJP,485224,1771985
Mumbai   South,SHS,374609,1485844
Mumbai North,BJP,664004,1783870
Mumbai North East,BJP,525285,1668357
Mumbai North West,SHS,464820,1775416
Mumbai North central,BJP,478535,1737084
Mumbai South central,SHS,381008,1447886
Munger,LJP,352911,1719984
Murshidabad,CPM,426947,1512098
Muzaffarnagar,BJP,653391,1588475
Muzaffarpur,BJP,469295,1551363
Mysore,BJP,503908,1723134
NEW DELHI                     ,BJP,453350,1490147
NORTH EAST DELHI              ,BJP,596125,1957708
NORTH WEST DELHI              ,BJP,629860,2194343
Nagaland,NPF,713372,1182972
Nagapattinam ,ADMK,434174,1210626
Nagar Kurnool,INC,420075,1477305
Nagaur,BJP,414791,1678660
Nagina,BJP,367825,1493419
Nagpur ,BJP,587767,1900784
Nainital-udhamsingh Nagar,BJP,636769,1610811
Nalanda,JD(U),321982,1951967
Nalgonda,INC,472093,1494343
Namakkal,ADMK,563272,1329552
Nanded,INC,493075,1687057
Nandurbar ,BJP,579486,1672943
Nandyal,YSRCP,622411,1576945
Narasapuram,BJP,540306,1325028
Narasaraopet,TDP,632464,1514861
Nashik,SHS,494735,1593774
Navsari,BJP,820831,1764622
Nawada,BJP,390248,1694895
Nellore,YSRCP,576396,1606127
Nilgiris ,ADMK,463700,1269173
Nizamabad,TRS,439307,1496193
North Goa,BJP,237903,515441
Nowgong,BJP,494146,1523881
Ongole ,YSRCP,589861,1470212
Osmanabad,SHS,607699,1759186
Outer manipur,INC,296770,919009
Palakkad,CPM,412897,1208726
Palamau,BJP,476513,1645957
Palghar ,BJP,533201,1578149
Pali,BJP,711772,1902094
Panchmahal,BJP,508274,1576667
Parbhani,SHS,578455,1803792
Paschim Champaran,BJP,371232,1413148
Pataliputra,BJP,383262,1736074
Patan,BJP,518538,1628641
Pathanamthitta,INC,358842,1323906
Patiala,AAAP,365671,1580273
Patna Sahib,BJP,485905,1946249
Pedipalp ,TRS,565496,1425355
Perambalur,ADMK,462693,1285576
Phulpur,BJP,503564,1913275
Pilibhit,BJP,546934,1671154
Pollachi,ADMK,417092,1381505
Ponnani,IUML,378503,1180789
Porbandar,BJP,508437,1539223
Pratapgarh,AD,375789,1716394
Puducherry,AINRC,255826,901357
Pune,BJP,569825,1835835
Purnia,JD(U),418826,1582626
Purulia,AITC,468277,1471933
Purvi Champaran,BJP,400452,1439253
RAJGARH,BJP,596727,1578757
RATLAM,BJP,545980,1702576
REWA,BJP,383320,1544719
Rae Bareli,INC,526434,1594954
Raichur,INC,443659,1661606
Raigad,SHS,396178,1532781
Raiganj,CPM,317515,1387526
Rajahmundry,TDP,630573,1421276
Rajampet,YSRCP,601752,1487791
Rajkot,BJP,621524,1655717
Rajmahal,JMM,379507,1353467
Rajsamand,BJP,644794,1701194
Ramanathapuram,ADMK,405945,1455988
Rampur,BJP,358616,1616972
Ramtek ,SHS,519892,1677266
Ranaghat,AITC,590451,1602849
Ranchi,BJP,448729,1648459
Ratnagiri - sindhudurg,SHS,493088,1367362
Raver,BJP,605452,1593389
Robertsganj,BJP,378211,1639074
Rohtak,INC,490063,1567508
SAGAR,BJP,482580,1520322
SATNA,BJP,375288,1458381
SHAHDOL,BJP,525419,1561016
SIDHI,BJP,475678,1736048
SOUTH DELHI                   ,BJP,497980,1752748
Sabarkantha,BJP,552205,1615840
Saharanpur,BJP,472999,1608833
Salem,ADMK,556546,1498350
Salempur,BJP,392213,1661737
Samastipur (SC),LJP,270401,1504451
Sambhal,BJP,360242,1693229
Sangli,BJP,611563,1649107
Sangrur,AAAP,533237,1424743
Sant Kabir Nagar,BJP,348892,1904315
Saran,BJP,355120,1538740
Sasaram (SC),BJP,366087,1607747
Satara,NCP,522531,1719998
Secundrabad,BJP,438271,1893741
Shahjahanpur,BJP,525132,1979294
Sheohar,BJP,372506,1485801
Shillong,INC,209340,980740
Shimla,BJP,385973,1153363
Shimoga,BJP,606216,1562243
Shirdi,SHS,532936,1462267
Shirur,SHS,643415,1824112
Shrawasti,BJP,345964,1788080
Sikar,BJP,499428,1769882
Sikkim,SDF,163698,370770
Silchar,INC,336451,1060175
Singhbhum,BJP,303131,1152632
Sirsa,INLD,506370,1660557
Sitamarhi,BLSP,411265,1574914
Sitapur,BJP,417546,1550263
Sivaganga,ADMK,475993,1412373
Siwan,BJP,372670,1563860
Solapur ,BJP,517879,1702739
Sonipat,BJP,347203,1417188
South Goa,BJP,198776,545336
Srerampur,AITC,514933,1624038
Srikakulam,TDP,556545,1413726
Srinagar,JKPDP,157923,1207230
Sriperumbudur,ADMK,545820,1946503
Sultanpur,BJP,410348,1703698
Supaul,INC,332927,1525583
Surat,BJP,718412,1484068
Surendranagar,BJP,529003,1656657
TIKAMGARH,BJP,422979,1528863
TONK-SAWAI MADHOPUR,BJP,548537,1710775
Tamluk,AITC,716928,1527273
Tehri Garhwal,BJP,446733,1352614
Tenkasi ,ADMK,424586,1382081
Tezpur,BJP,446511,1259568
Thane,SHS,595364,2073251
