,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,margin,margin_difference
641,Bihar,Supaul,Dileshwar Kamait,MALE,73.0,GENERAL,JD(U),596807,570,597377,1690620,0,
642,Bihar,Supaul,Ranjeet Ranjan,FEMALE,46.0,GENERAL,INC,330258,266,330524,1690620,-266853,
661,Bihar,Araria,PRADEEP KUMAR SINGH,MALE,52.0,GENERAL,BJP,618004,430,618434,1805439,0,
663,Bihar,Araria,SARFARAZ ALAM,MALE,50.0,GENERAL,RJD,481120,73,481193,1805439,-137241,
676,Bihar,Kishanganj,Dr. Mohammad Jawed,MALE,54.0,GENERAL,INC,366820,197,367017,1659651,0,
677,Bihar,Kishanganj,Syed Mahmood Ashraf,MALE,54.0,GENERAL,JD(U),332325,226,332551,1659651,-34466,
689,Bihar,Katihar,TARIQ ANWAR,MALE,68.0,GENERAL,INC,502044,176,502220,1653353,-57203,
690,Bihar,Katihar,DULAL CHANDRA GOSWAMI,MALE,51.0,GENERAL,JD(U),558984,439,559423,1653353,0,
699,Bihar,Purnia,UDAY SINGH ALIAS PAPPU SINGH,MALE,66.0,GENERAL,INC,369278,185,369463,1765312,-263461,
701,Bihar,Purnia,SANTOSH KUMAR,MALE,43.0,GENERAL,JD(U),632435,489,632924,1765312,0,
716,Bihar,Madhepura,Dinesh Chandra Yadav,MALE,67.0,GENERAL,JD(U),623460,874,624334,1884883,0,
717,Bihar,Madhepura,Sharad Yadav,MALE,71.0,GENERAL,RJD,322410,397,322807,1884883,-301527,
730,Bihar,Darbhanga,Abdul Bari Siddiqui,MALE,67.0,GENERAL,RJD,317485,1204,318689,1654811,-267979,
731,Bihar,Darbhanga,Gopal Jee Thakur,MALE,49.0,GENERAL,BJP,585013,1655,586668,1654811,0,
739,Bihar,Muzaffarpur,Ajay Nishad,MALE,50.0,GENERAL,BJP,664074,2804,666878,1730553,0,
750,Bihar,Muzaffarpur,Raj Bhushan Choudhary,MALE,41.0,GENERAL,VSIP,255837,1053,256890,1730553,-409988,
762,Bihar,Vaishali,Raghuvansh Prasad Singh,MALE,72.0,GENERAL,RJD,332707,924,333631,1735983,-234584,
763,Bihar,Vaishali,Veena Devi (W/o Dinesh Prasad Singh),FEMALE,48.0,GENERAL,LJP,566707,1508,568215,1735983,0,
785,Bihar,Gopalganj (SC),DR. ALOK KUMAR SUMAN,MALE,61.0,SC,JD(U),562424,5726,568150,1839514,0,
787,Bihar,Gopalganj (SC),SURENDRA RAM,MALE,41.0,SC,RJD,278606,3110,281716,1839514,-286434,
799,Bihar,Siwan,Kavita Singh,FEMALE,33.0,GENERAL,JD(U),447171,1302,448473,1799551,0,
801,Bihar,Siwan,Hena Shahab,FEMALE,46.0,GENERAL,RJD,330363,1152,331515,1799551,-116958,
820,Bihar,Maharajganj,"Janardan Singh 'Sigriwal""",MALE,55.0,GENERAL,BJP,543523,2829,546352,1807768,0,
821,Bihar,Maharajganj,Randhir Kumar Singh,MALE,36.0,GENERAL,RJD,314803,777,315580,1807768,-230772,
831,Bihar,Saran,Chandrika Roy,MALE,61.0,GENERAL,RJD,360461,1114,361575,1667253,-138411,
832,Bihar,Saran,Rajiv Pratap Rudy,MALE,58.0,GENERAL,BJP,496992,2994,499986,1667253,0,
846,Bihar,Hajipur (SC),PASHU PATI KUMAR PARAS,MALE,66.0,SC,LJP,539665,1645,541310,1823664,0,
847,Bihar,Hajipur (SC),SHIV CHANDRA RAM,MALE,49.0,SC,RJD,335283,578,335861,1823664,-205449,
857,Bihar,Ujiarpur,Upendra Kushwaha,MALE,56.0,GENERAL,BLSP,265891,737,266628,1612300,-277278,
859,Bihar,Ujiarpur,Nityanand Rai,MALE,53.0,GENERAL,BJP,542341,1565,543906,1612300,0,
875,Bihar,Samastipur (SC),Dr. Ashok Kumar,MALE,64.0,SC,INC,310016,784,310800,1679030,-251643,
877,Bihar,Samastipur (SC),Ramchandra Paswan,MALE,58.0,SC,LJP,561460,983,562443,1679030,0,
887,Bihar,Begusarai,Kanhaiya Kumar,MALE,32.0,GENERAL,CPI,267917,2059,269976,1958382,-422217,
888,Bihar,Begusarai,Giriraj Singh,MALE,66.0,GENERAL,BJP,687577,4616,692193,1958382,0,
898,Bihar,Khagaria,Choudhary Mehboob Ali Kaiser,MALE,52.0,GENERAL,LJP,509138,1055,510193,1676454,0,
905,Bihar,Khagaria,Mukesh Sahani,MALE,40.0,GENERAL,VSIP,261409,214,261623,1676454,-248570,
919,Bihar,Bhagalpur,AJAY KUMAR MANDAL,MALE,41.0,GENERAL,JD(U),616724,1530,618254,1823820,0,
921,Bihar,Bhagalpur,SHAILESH KUMAR ALIAS VULO MANDAL,MALE,43.0,GENERAL,RJD,339999,625,340624,1823820,-277630,
929,Bihar,Banka,GIRIDHARI YADAV,MALE,58.0,GENERAL,JD(U),476948,840,477788,1699394,0,
930,Bihar,Banka,JAI PRAKASH NARAYAN YADAV,MALE,65.0,GENERAL,RJD,276856,400,277256,1699394,-200532,
951,Bihar,Munger,NILAM DEVI,FEMALE,48.0,GENERAL,INC,359303,1522,360825,1888025,-167937,
952,Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,MALE,65.0,GENERAL,JD(U),525519,3243,528762,1888025,0,
970,Bihar,Nalanda,Kaushlendra Kumar,MALE,60.0,GENERAL,JD(U),539183,1705,540888,2114809,0,
974,Bihar,Nalanda,Ashok Kumar Azad,MALE,46.0,GENERAL,HAMS,284587,164,284751,2114809,-256137,
1006,Bihar,Patna Sahib,RAVI SHANKAR PRASAD,MALE,64.0,GENERAL,BJP,604956,2550,607506,2146008,0,
1007,Bihar,Patna Sahib,SHATRUGHAN SINHA,MALE,73.0,GENERAL,INC,321840,1009,322849,2146008,-284657,
1026,Bihar,Pataliputra,MISHA BHARTI,FEMALE,42.0,GENERAL,RJD,468873,1363,470236,1925479,-39321,
1027,Bihar,Pataliputra,RAM KRIPAL YADAV,MALE,58.0,GENERAL,BJP,506557,3000,509557,1925479,0,
1052,Bihar,Arrah,R. K. Singh,MALE,66.0,GENERAL,BJP,560106,6374,566480,2089353,0,
1057,Bihar,Arrah,Raju Yadav,MALE,36.0,GENERAL,CPI(ML)(L),418266,929,419195,2089353,-147285,
1063,Bihar,Buxar,Ashwini Kumar Choubey,MALE,66.0,GENERAL,BJP,468690,4363,473053,1829373,0,
1064,Bihar,Buxar,Jagadanand Singh,MALE,75.0,GENERAL,RJD,353627,1817,355444,1829373,-117609,
1079,Bihar,Sasaram (SC),CHHEDI PASWAN,MALE,63.0,SC,BJP,492364,2436,494800,1787878,0,
1081,Bihar,Sasaram (SC),MEIRA KUMAR,FEMALE,74.0,SC,INC,326373,2682,329055,1787878,-165745,
1093,Bihar,Karakat,UPENDRA KUSHWAHA,MALE,56.0,GENERAL,BLSP,312269,1597,313866,1771254,-84542,
1094,Bihar,Karakat,MAHABALI SINGH,MALE,64.0,GENERAL,JD(U),396282,2126,398408,1771254,0,
1121,Bihar,Jahanabad,CHANDESHWAR PRASAD,MALE,68.0,GENERAL,JD(U),333191,2393,335584,1588454,0,
1123,Bihar,Jahanabad,SURENDRA PRASAD YADAV,MALE,60.0,GENERAL,RJD,332116,1717,333833,1588454,-1751,
1136,Bihar,Bihar_Aurangabad,SUSHIL KUMAR SINGH,MALE,53.0,GENERAL,BJP,426116,1605,427721,1742883,0,
1138,Bihar,Bihar_Aurangabad,UPENDRA PRASAD,MALE,55.0,GENERAL,HAMS,356846,323,357169,1742883,-70552,
1147,Bihar,Gaya (SC),Vijay Kumar,MALE,55.0,SC,JD(U),465748,1259,467007,1704596,0,
1150,Bihar,Gaya (SC),Jitan Ram Manjhi,MALE,73.0,SC,HAMS,313984,597,314581,1704596,-152426,
1159,Bihar,Nawada,Chandan Singh,MALE,36.0,GENERAL,LJP,491956,3728,495684,1899747,0,
1160,Bihar,Nawada,Vibha Devi,FEMALE,53.0,GENERAL,RJD,344734,2878,347612,1899747,-148072,
1174,Bihar,Jamui (SC),CHIRAG KUMAR PASWAN,MALE,37.0,SC,LJP,527860,1274,529134,1718814,0,
1175,Bihar,Jamui (SC),BHUDEO CHOUDHARY,MALE,56.0,SC,BLSP,287805,280,288085,1718814,-241049,
1183,Goa,North Goa,GIRISH RAYA CHODANKAR,MALE,52.0,GENERAL,INC,164407,190,164597,556761,-80247,
1184,Goa,North Goa,SHRIPAD YESSO NAIK,MALE,66.0,GENERAL,BJP,244034,810,244844,556761,0,
1190,Goa,South Goa,COSME FRANCISCO CAITANO SARDINHA,MALE,73.0,GENERAL,INC,201279,282,201561,579352,0,
1191,Goa,South Goa,ADV. NARENDRA SAWAIKAR,MALE,52.0,GENERAL,BJP,191205,601,191806,579352,-9755,
1197,Gujarat,Kachchh,CHAVDA VINOD LAKHAMSHI,MALE,40.0,SC,BJP,631753,5281,637034,1744321,0,
1198,Gujarat,Kachchh,NARESH NARANBHAI MAHESHWARI,MALE,52.0,SC,INC,329229,2292,331521,1744321,-305513,
1209,Gujarat,Banaskantha,PARTHIBHAI GALBABHAI BHATOL,MALE,75.0,GENERAL,INC,309446,1366,310812,1697384,-368296,
1210,Gujarat,Banaskantha,PARBATBHAI SAVABHAI PATEL,MALE,70.0,GENERAL,BJP,675650,3458,679108,1697384,0,
1224,Gujarat,Patan,JAGDISH THAKOR,MALE,62.0,GENERAL,INC,437358,2131,439489,1807043,-193879,
1225,Gujarat,Patan,DABHI BHARATSINHJI SHANKARJI,MALE,64.0,GENERAL,BJP,629813,3555,633368,1807043,0,
1237,Gujarat,Mahesana,A. J. Patel,MALE,73.0,GENERAL,INC,376193,1813,378006,1648869,-281519,
1238,Gujarat,Mahesana,SHARDABEN ANILBHAI PATEL,FEMALE,71.0,GENERAL,BJP,656686,2839,659525,1648869,0,
1249,Gujarat,Sabarkantha,THAKOR RAJENDRASINH SHIVSINH,MALE,46.0,GENERAL,INC,428836,4161,432997,1801717,-268986,
1250,Gujarat,Sabarkantha,RATHOD DIPSINH SHANKARSINH,MALE,67.0,GENERAL,BJP,696497,5486,701983,1801717,0,
1270,Gujarat,Gandhinagar,AMIT SHAH,MALE,54.0,GENERAL,BJP,889925,4699,894624,1945772,0,
1271,Gujarat,Gandhinagar,Dr. C. J. CHAVDA,MALE,61.0,GENERAL,INC,334082,3528,337610,1945772,-557014,
1288,Gujarat,Ahmedabad East,Gitaben Patel,FEMALE,38.0,GENERAL,INC,312883,2621,315504,1811851,-434330,
1289,Gujarat,Ahmedabad East,Patel Hasmukhbhai Somabhai,MALE,58.0,GENERAL,BJP,745810,4024,749834,1811851,0,
1315,Gujarat,Ahmedabad West,DR. KIRIT P. SOLANKI,MALE,69.0,SC,BJP,638241,3381,641622,1643317,0,
1317,Gujarat,Ahmedabad West,RAJU PARMAR,MALE,68.0,SC,INC,317797,2279,320076,1643317,-321546,
1329,Gujarat,Surendranagar,KOLI PATEL SOMABHAI GANDALAL,MALE,79.0,GENERAL,INC,351610,2797,354407,1849429,-277437,
1331,Gujarat,Surendranagar,Dr. MUNJAPARA MAHENDRABHAI,MALE,50.0,GENERAL,BJP,626957,4887,631844,1849429,0,
1361,Gujarat,Rajkot,KAGATHARA LALITBHAI,MALE,61.0,GENERAL,INC,388405,1833,390238,1884339,-368407,
1362,Gujarat,Rajkot,KUNDARIA MOHANBHAI KALYANJIBHAI,MALE,67.0,GENERAL,BJP,755296,3349,758645,1884339,0,
1372,Gujarat,Porbandar,RAMESHBHAI LAVJIBHAI DHADUK,MALE,57.0,GENERAL,BJP,560011,3870,563881,1662368,0,
1373,Gujarat,Porbandar,LALIT VASOYA,MALE,57.0,GENERAL,INC,331883,2175,334058,1662368,-229823,
1390,Gujarat,Jamnagar,KANDORIYA MULUBHAI RANMALBHAI,MALE,60.0,GENERAL,INC,353199,1585,354784,1657166,-236804,
1391,Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,FEMALE,44.0,GENERAL,BJP,587501,4087,591588,1657166,0,
1419,Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,MALE,36.0,GENERAL,BJP,543429,4315,547744,1642864,0,
1421,Gujarat,Junagadh,VANSH PUNJABHAI BHIMABHAI,MALE,55.0,GENERAL,INC,394673,2860,397533,1642864,-150211,
1432,Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,MALE,64.0,GENERAL,BJP,527593,1442,529035,1628451,0,
1434,Gujarat,Amreli,Paresh Dhanani,MALE,42.0,GENERAL,INC,326781,823,327604,1628451,-201431,
1445,Gujarat,Bhavnagar,PATEL MANHARBHAI NAGJIBHAI (VASANI),MALE,50.0,GENERAL,INC,329131,2623,331754,1768297,-329519,
1446,Gujarat,Bhavnagar,DR.BHARATIBEN DHIRUBHAI SHIYAL,FEMALE,55.0,GENERAL,BJP,655272,6001,661273,1768297,0,
1456,Gujarat,Anand,PATEL MITESH RAMESHBHAI (BAKABHAI),MALE,54.0,GENERAL,BJP,631581,1516,633097,1655870,0,
1457,Gujarat,Anand,BHARATBHAI MADHAVSINH SOLANKI,MALE,65.0,GENERAL,INC,434006,1373,435379,1655870,-197718,
1467,Gujarat,Kheda,Chauhan Devusinh,MALE,54.0,GENERAL,BJP,711757,2815,714572,1804028,0,
1468,Gujarat,Kheda,Bimal Shah,MALE,58.0,GENERAL,INC,345804,1623,347427,1804028,-367145,
1475,Gujarat,Panchmahal,Khant Vechatbhai Kuberbhai,MALE,68.0,GENERAL,INC,301046,2549,303595,1744762,-428541,
1476,Gujarat,Panchmahal,Ratansinh Magansinh Rathod,MALE,59.0,GENERAL,BJP,727301,4835,732136,1744762,0,
1482,Gujarat,Dahod,KATARA BABUBHAI KHIMABHAI,MALE,58.0,ST,INC,431312,2852,434164,1598939,-127596,
1483,Gujarat,Dahod,JASHVANTSINH SUMANBHAI BHABHOR,MALE,52.0,ST,BJP,558977,2783,561760,1598939,0,
1490,Gujarat,Vadodara,PRASHANT PATEL (TIKO),MALE,44.0,GENERAL,INC,293080,1462,294542,1794896,-589177,
1492,Gujarat,Vadodara,RANJANBEN BHATT,FEMALE,56.0,GENERAL,BJP,880905,2814,883719,1794896,0,
1504,Gujarat,Chhota Udaipur,RATHVA GITABEN VAJESINGBHAI,FEMALE,47.0,ST,BJP,761472,2973,764445,1671253,0,
