,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes_x,total_electors,margin,margin_difference,votes,total_votes_y,votes_share
103,Gujarat,Chhota Udaipur,RATHVA GITABEN VAJESINGBHAI,FEMALE,47.0,ST,BJP,761472,2973,764445,1671253,0,,18091275,29081964,62.20788595983407
104,Gujarat,Dahod,JASHVANTSINH SUMANBHAI BHABHOR,MALE,52.0,ST,BJP,558977,2783,561760,1598939,0,,18091275,29081964,62.20788595983407
105,Gujarat,Gandhinagar,AMIT SHAH,MALE,54.0,GENERAL,BJP,889925,4699,894624,1945772,0,,18091275,29081964,62.20788595983407
106,Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,FEMALE,44.0,GENERAL,BJP,587501,4087,591588,1657166,0,,18091275,29081964,62.20788595983407
107,Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,MALE,36.0,GENERAL,BJP,543429,4315,547744,1642864,0,,18091275,29081964,62.20788595983407
108,Gujarat,Kachchh,CHAVDA VINOD LAKHAMSHI,MALE,40.0,SC,BJP,631753,5281,637034,1744321,0,,18091275,29081964,62.20788595983407
109,Gujarat,Kheda,Chauhan Devusinh,MALE,54.0,GENERAL,BJP,711757,2815,714572,1804028,0,,18091275,29081964,62.20788595983407
110,Gujarat,Mahesana,SHARDABEN ANILBHAI PATEL,FEMALE,71.0,GENERAL,BJP,656686,2839,659525,1648869,0,,18091275,29081964,62.20788595983407
111,Gujarat,Navsari,C. R. Patil,MALE,64.0,GENERAL,BJP,969430,3309,972739,1971658,0,,18091275,29081964,62.20788595983407
112,Gujarat,Panchmahal,Ratansinh Magansinh Rathod,MALE,59.0,GENERAL,BJP,727301,4835,732136,1744762,0,,18091275,29081964,62.20788595983407
113,Gujarat,Patan,DABHI BHARATSINHJI SHANKARJI,MALE,64.0,GENERAL,BJP,629813,3555,633368,1807043,0,,18091275,29081964,62.20788595983407
114,Gujarat,Porbandar,RAMESHBHAI LAVJIBHAI DHADUK,MALE,57.0,GENERAL,BJP,560011,3870,563881,1662368,0,,18091275,29081964,62.20788595983407
115,Gujarat,Rajkot,KUNDARIA MOHANBHAI KALYANJIBHAI,MALE,67.0,GENERAL,BJP,755296,3349,758645,1884339,0,,18091275,29081964,62.20788595983407
116,Gujarat,Sabarkantha,RATHOD DIPSINH SHANKARSINH,MALE,67.0,GENERAL,BJP,696497,5486,701983,1801717,0,,18091275,29081964,62.20788595983407
117,Gujarat,Surat,Darshana Vikram Jardosh,FEMALE,58.0,GENERAL,BJP,794133,1518,795651,1655704,0,,18091275,29081964,62.20788595983407
118,Gujarat,Surendranagar,Dr. MUNJAPARA MAHENDRABHAI,MALE,50.0,GENERAL,BJP,626957,4887,631844,1849429,0,,18091275,29081964,62.20788595983407
119,Gujarat,Vadodara,RANJANBEN BHATT,FEMALE,56.0,GENERAL,BJP,880905,2814,883719,1794896,0,,18091275,29081964,62.20788595983407
120,Gujarat,Valsad,Dr.K.C.PATEL,MALE,69.0,ST,BJP,770442,1538,771980,1671030,0,,18091275,29081964,62.20788595983407
121,Rajasthan,Ajmer,Bhagirath Chaudhary,MALE,64.0,GENERAL,BJP,811091,3985,815076,1876346,0,,18968392,32441064,58.47031404395368
122,Rajasthan,Alwar,Balak Nath,MALE,35.0,GENERAL,BJP,750580,9621,760201,1888524,0,,18968392,32441064,58.47031404395368
123,Rajasthan,BHARATPUR,RANJEETA KOLI,FEMALE,39.0,SC,BJP,701293,6699,707992,1943794,0,,18968392,32441064,58.47031404395368
124,Rajasthan,Banswara,KANAKMAL KATARA,MALE,62.0,ST,BJP,710684,1025,711709,1975368,0,,18968392,32441064,58.47031404395368
125,Rajasthan,Barmer,KAILASH CHOUDHARY,MALE,45.0,GENERAL,BJP,844104,2422,846526,1941231,0,,18968392,32441064,58.47031404395368
126,Rajasthan,Bhilwara,SUBHASH CHANDRA BAHERIA,MALE,62.0,GENERAL,BJP,936065,2095,938160,1997328,0,,18968392,32441064,58.47031404395368
127,Rajasthan,Bikaner (SC),ARJUN RAM MEGHWAL,MALE,65.0,SC,BJP,655427,2316,657743,1851628,0,,18968392,32441064,58.47031404395368
128,Rajasthan,Chittorgarh,Chandra Prakash Joshi,MALE,43.0,GENERAL,BJP,979946,2996,982942,2015911,0,,18968392,32441064,58.47031404395368
129,Rajasthan,Churu,RAHUL KASWAN,MALE,42.0,GENERAL,BJP,786573,6426,792999,2019104,0,,18968392,32441064,58.47031404395368
130,Rajasthan,Dausa,Jaskaur Meena,FEMALE,71.0,ST,BJP,545481,3252,548733,1730289,0,,18968392,32441064,58.47031404395368
131,Rajasthan,Ganganagar,NIHAL CHAND,MALE,48.0,SC,BJP,892744,4433,897177,1943486,0,,18968392,32441064,58.47031404395368
132,Rajasthan,JHALAWAR-BARAN,DUSHYANT SINGH,MALE,48.0,GENERAL,BJP,887017,383,887400,1903870,0,,18968392,32441064,58.47031404395368
133,Rajasthan,Jaipur,Ramcharan Bohra,MALE,61.0,GENERAL,BJP,918472,5593,924065,2127021,0,,18968392,32441064,58.47031404395368
